#CpG,Coefficient estimate (slope),Standard error,p value,Bonferroni p,q value (FDR),Gene
cpg,beta,std.err,p.value,bonferroni,fdr,gene
cg04094640,-0.0012984027,9.70E-05,6.79E-38,3.22E-32,3.09E-34,NSMCE1
cg10249285,-0.0007857736,5.87E-05,7.04E-38,3.34E-32,3.16E-34,NA
cg00411595,-0.0011466271,8.65E-05,2.88E-37,1.37E-31,1.28E-33,SLC2A6
cg13066703,-0.001582912,0.0001194532,3.26E-37,1.54E-31,1.43E-33,TRAF5
cg06897661,-0.0011580767,8.75E-05,3.81E-37,1.81E-31,1.65E-33,ADCY7
cg06518251,-0.0014289969,0.0001082922,6.15E-37,2.91E-31,2.62E-33,ALDH3B1
cg12403889,-0.0015614738,0.0001184001,6.71E-37,3.18E-31,2.82E-33,DRAXIN
cg18183624,0.0021469612,0.0001632362,1.01E-36,4.77E-31,4.18E-33,IGF2BP1
cg01076459,-0.0013323073,0.0001015244,1.41E-36,6.67E-31,5.78E-33,RAP1GAP2
cg07788865,-0.0012466368,9.52E-05,1.92E-36,9.09E-31,7.78E-33,NA
cg25202280,-0.0008055319,6.15E-05,1.98E-36,9.39E-31,7.94E-33,NA
cg12970171,-0.001534433,0.0001172953,2.25E-36,1.06E-30,8.89E-33,NA
cg21374307,-0.0025417,0.0001947347,3.14E-36,1.49E-30,1.23E-32,SCHIP1
cg07042014,-0.0014705182,0.0001126902,3.25E-36,1.54E-30,1.26E-32,LTB4R
cg07770777,-0.0023235757,0.0001788269,6.10E-36,2.89E-30,2.33E-32,ATP11A
cg17837526,-0.001468736,0.0001130771,6.43E-36,3.05E-30,2.43E-32,ATP6V0E1
cg15165154,-0.0019030026,0.0001465698,6.82E-36,3.23E-30,2.55E-32,CXXC5
cg16398956,-0.001096225,8.45E-05,7.98E-36,3.78E-30,2.95E-32,NA
cg03048432,-0.0015872231,0.0001225533,9.81E-36,4.65E-30,3.59E-32,NIN
cg04272820,-0.0016826893,0.0001300964,1.19E-35,5.64E-30,4.30E-32,THRA
cg24914185,-0.0013454858,0.000104039,1.21E-35,5.74E-30,4.33E-32,NA
cg07573872,-0.0012686275,9.85E-05,2.10E-35,9.96E-30,7.43E-32,SBNO2
cg15013617,-0.0021685444,0.0001684035,2.26E-35,1.07E-29,7.91E-32,C20orf141
cg05298628,-0.0013769313,0.0001070707,2.73E-35,1.30E-29,9.47E-32,VPS37B
cg26800893,-0.0010755142,8.37E-05,2.86E-35,1.35E-29,9.80E-32,CARNS1
cg00382138,-0.0020555648,0.000160055,3.31E-35,1.57E-29,1.12E-31,CFI
cg00151922,-0.0011695902,9.11E-05,3.50E-35,1.66E-29,1.18E-31,JAG1
cg02637282,-0.0017832684,0.0001392513,5.00E-35,2.37E-29,1.66E-31,NA
cg22820108,-0.0014112195,0.0001104222,6.67E-35,3.16E-29,2.20E-31,NCOR2
cg21155834,-0.0010367859,8.12E-05,7.47E-35,3.54E-29,2.43E-31,NA
cg24257309,-0.0013923962,0.0001094145,1.22E-34,5.79E-29,3.94E-31,AVP
cg13335054,-0.0013492276,0.0001062931,1.75E-34,8.29E-29,5.60E-31,LINC00887
cg12036735,-0.0020200641,0.000159481,2.36E-34,1.12E-28,7.43E-31,NA
cg13283635,-0.0018232393,0.000143945,2.37E-34,1.12E-28,7.43E-31,COL9A3
cg01143454,-0.0017117746,0.0001351694,2.43E-34,1.15E-28,7.55E-31,NA
cg19913563,-0.0023017143,0.0001822122,3.46E-34,1.64E-28,1.06E-30,NA
cg07338715,-0.0013378146,0.0001059411,3.62E-34,1.71E-28,1.10E-30,NA
cg04494800,-0.0015502397,0.000122768,3.64E-34,1.72E-28,1.10E-30,ZC3H12D
cg08645860,-0.0014647473,0.0001162188,4.74E-34,2.25E-28,1.42E-30,NA
cg06753281,-0.0009436796,7.50E-05,5.46E-34,2.59E-28,1.62E-30,KCNAB2
cg04632887,-0.0017754384,0.000141404,8.02E-34,3.80E-28,2.36E-30,AVP
cg14434062,-0.0017022517,0.0001357684,9.76E-34,4.62E-28,2.82E-30,NA
cg05059607,-0.0019515347,0.000155652,9.77E-34,4.63E-28,2.82E-30,PITPNC1
cg24045875,-0.0011619054,9.29E-05,1.46E-33,6.92E-28,4.19E-30,NA
cg05294455,0.0016665965,0.0001336651,2.09E-33,9.91E-28,5.94E-30,MYL4
cg08915038,-0.0009344576,7.50E-05,2.16E-33,1.02E-27,6.08E-30,RSG1
cg05820066,-0.0017247259,0.0001383718,2.19E-33,1.04E-27,6.11E-30,LDHD
cg13586051,-0.0015836878,0.0001271072,2.31E-33,1.09E-27,6.39E-30,DNASE1L3
cg12170787,-0.0009503846,7.64E-05,2.99E-33,1.42E-27,8.22E-30,SBNO2
cg04345034,-0.0010758606,8.67E-05,4.05E-33,1.92E-27,1.10E-29,NA
cg21574271,-0.0018088477,0.0001459572,4.77E-33,2.26E-27,1.29E-29,BMPR1B
cg15908709,0.0013113009,0.0001061089,6.98E-33,3.30E-27,1.87E-29,NA
cg20229014,-0.0006614793,5.35E-05,7.07E-33,3.35E-27,1.88E-29,ST3GAL1
cg20072118,-0.0019675285,0.0001594876,8.81E-33,4.18E-27,2.33E-29,NA
cg20076442,-0.0022803704,0.0001852002,1.14E-32,5.39E-27,2.98E-29,NA
cg19843457,-0.0020141712,0.0001635983,1.15E-32,5.47E-27,3.00E-29,NA
cg08965235,-0.0011474979,9.32E-05,1.21E-32,5.74E-27,3.12E-29,LTBP3
cg16597079,-0.0009460951,7.69E-05,1.27E-32,5.99E-27,3.24E-29,TRERF1
cg24296397,-0.0013881765,0.0001129272,1.42E-32,6.72E-27,3.60E-29,BSN
cg20782117,-0.0017310042,0.0001408529,1.47E-32,6.96E-27,3.70E-29,SLC25A13
cg27246744,-0.0014835479,0.0001207341,1.50E-32,7.09E-27,3.74E-29,OSBPL10
cg27652459,-0.0012374167,0.0001007462,1.58E-32,7.50E-27,3.93E-29,ARHGAP1
cg00654448,-0.0008911053,7.26E-05,1.61E-32,7.61E-27,3.96E-29,NA
cg18520238,-0.0024002695,0.0001955854,1.77E-32,8.39E-27,4.33E-29,PRR5L
cg21132686,-0.0012249553,0.0001000702,2.48E-32,1.18E-26,6.03E-29,NA
cg08813888,-0.0012878197,0.0001052481,2.62E-32,1.24E-26,6.31E-29,NA
cg06947286,-0.0015277076,0.0001249248,2.82E-32,1.34E-26,6.76E-29,PDLIM4
cg15030415,-0.001480294,0.0001210601,2.86E-32,1.36E-26,6.80E-29,RAP1GAP2
cg24873093,-0.0012308732,0.0001008239,3.54E-32,1.68E-26,8.34E-29,NA
cg26690511,-0.002078166,0.0001703003,3.74E-32,1.77E-26,8.76E-29,PLCH1
cg16545105,-0.0016715843,0.0001369979,3.80E-32,1.80E-26,8.83E-29,CRHBP
cg27210390,0.0014374233,0.0001180846,5.18E-32,2.45E-26,1.20E-28,TOM1L1
cg11368628,-0.0013834998,0.0001138455,6.44E-32,3.05E-26,1.48E-28,SYT8
cg11360522,-0.0017757511,0.0001465013,9.03E-32,4.28E-26,2.06E-28,ATP11A
cg21223094,-0.0015216218,0.0001256284,9.94E-32,4.71E-26,2.25E-28,ETV6
cg08416522,-0.000464411,3.84E-05,1.39E-31,6.56E-26,3.11E-28,MAP3K7CL
cg02493846,-0.0016340184,0.0001355922,1.91E-31,9.05E-26,4.26E-28,LOC100132111
cg00739778,-0.0019090142,0.0001584727,2.01E-31,9.51E-26,4.45E-28,RAP1GAP2
cg08654091,0.0016315837,0.0001355682,2.26E-31,1.07E-25,4.98E-28,NA
cg06311778,-0.0009092641,7.56E-05,2.43E-31,1.15E-25,5.32E-28,TENC1
cg13924996,-0.0017339616,0.0001441736,2.47E-31,1.17E-25,5.37E-28,ADRBK1
cg25114611,-0.0010397045,8.65E-05,2.74E-31,1.30E-25,5.92E-28,NA
cg00186909,-0.0016944127,0.0001410126,2.77E-31,1.31E-25,5.95E-28,PLEKHG7
cg24279744,0.001137463,9.49E-05,3.65E-31,1.73E-25,7.79E-28,ATP2B2
cg00587472,-0.0015934221,0.0001329143,3.72E-31,1.76E-25,7.89E-28,NA
cg22365167,-0.0009518356,7.94E-05,3.79E-31,1.80E-25,7.98E-28,AHNAK
cg14258501,-0.0011796214,9.84E-05,3.95E-31,1.87E-25,8.25E-28,LY6G6E
cg03050022,-0.0014582853,0.0001217228,4.05E-31,1.92E-25,8.42E-28,RAB27A
cg04451175,0.001446888,0.0001207971,4.16E-31,1.97E-25,8.58E-28,FGF20
cg17680767,-0.0015697645,0.000131059,4.18E-31,1.98E-25,8.58E-28,NA
cg23754918,0.0017329781,0.0001448747,4.93E-31,2.34E-25,1.01E-27,IQCE
cg08783253,-0.0015954276,0.0001334639,5.36E-31,2.54E-25,1.09E-27,AOC2
cg27110277,0.001526128,0.0001276881,5.48E-31,2.60E-25,1.10E-27,FGF20
cg27281690,-0.0018160431,0.0001520818,6.14E-31,2.91E-25,1.23E-27,RNF144A
cg06472341,-0.0012235236,0.0001024643,6.16E-31,2.92E-25,1.23E-27,MUC2
cg03390636,-0.0018868145,0.0001586008,9.85E-31,4.67E-25,1.95E-27,ARNT2
cg04384810,-0.0017378568,0.0001465581,1.48E-30,7.03E-25,2.92E-27,C14orf159
cg21842274,-0.0019689641,0.0001660894,1.53E-30,7.26E-25,3.00E-27,CRHBP
cg04340651,-0.0017858312,0.0001506577,1.55E-30,7.35E-25,3.02E-27,RGMA
cg19576697,-0.0016164526,0.0001363844,1.58E-30,7.46E-25,3.05E-27,F12
cg01394781,-0.0020099601,0.0001696438,1.64E-30,7.79E-25,3.16E-27,ABCC1
cg13036381,0.0029890602,0.000252322,1.68E-30,7.95E-25,3.21E-27,C3orf80
cg05514299,-0.0017024902,0.0001438065,1.81E-30,8.60E-25,3.45E-27,MGAT5B
cg09718582,0.0017444597,0.0001473581,1.82E-30,8.64E-25,3.45E-27,NA
cg26983198,-0.0017947962,0.000151622,1.84E-30,8.73E-25,3.46E-27,TNNT3
cg23541926,-0.0020984986,0.0001773175,1.89E-30,8.97E-25,3.54E-27,PLCH1
cg18608055,-0.0014169214,0.0001197396,1.92E-30,9.10E-25,3.57E-27,SBNO2
cg13149245,-0.0017665979,0.0001494396,2.18E-30,1.03E-24,4.02E-27,NA
cg02979520,-0.001064179,9.01E-05,2.44E-30,1.16E-24,4.48E-27,PLXNB1
cg11217218,-0.0006877149,5.83E-05,2.60E-30,1.23E-24,4.75E-27,NA
cg08305575,-0.0017199683,0.0001459422,3.19E-30,1.51E-24,5.79E-27,NA
cg02753354,-0.0012444757,0.0001056561,3.42E-30,1.62E-24,6.18E-27,HMHA1
cg24166457,-0.0017553586,0.0001493823,4.57E-30,2.17E-24,8.22E-27,GEMIN7
cg14499577,-0.0014248636,0.0001214663,5.65E-30,2.68E-24,1.01E-26,NA
cg13770461,-0.0016740112,0.0001428161,6.22E-30,2.95E-24,1.11E-26,PHF21A
cg12342675,-0.0011051204,9.43E-05,6.55E-30,3.10E-24,1.16E-26,BICC1
cg04276536,-0.0011952178,0.0001020508,6.86E-30,3.25E-24,1.21E-26,CCDC102A
cg23482898,-0.0010517923,8.98E-05,6.97E-30,3.30E-24,1.21E-26,CAND2
cg25773386,-0.0009342237,7.98E-05,6.98E-30,3.30E-24,1.21E-26,GPR62
cg21205139,-0.0015111733,0.0001291055,7.39E-30,3.50E-24,1.28E-26,GUCY1B3
cg04521626,-0.0018762916,0.0001604447,8.25E-30,3.91E-24,1.42E-26,PLD2
cg09012001,-0.0013520305,0.000115744,9.46E-30,4.48E-24,1.62E-26,IFFO2
cg00102731,0.0013284411,0.0001137602,9.83E-30,4.66E-24,1.68E-26,EBF4
cg16834726,-0.0016183673,0.0001386302,1.02E-29,4.83E-24,1.73E-26,DCTN2
cg17313709,-0.0014597388,0.0001250656,1.04E-29,4.95E-24,1.76E-26,NA
cg08276042,-0.0015205227,0.0001303118,1.08E-29,5.13E-24,1.82E-26,KCTD5
cg08810238,-0.0013691697,0.0001175592,1.36E-29,6.43E-24,2.27E-26,NA
cg26767614,0.0017402663,0.0001495295,1.48E-29,7.01E-24,2.46E-26,NFIX
cg13941235,-0.001544238,0.0001329324,1.85E-29,8.77E-24,3.06E-26,RXRA
cg04878826,-0.0013768963,0.0001187453,2.31E-29,1.09E-23,3.80E-26,NA
cg25197194,-0.001754165,0.0001513409,2.42E-29,1.15E-23,3.97E-26,EFCC1
cg23062810,-0.0016593098,0.0001432878,2.70E-29,1.28E-23,4.41E-26,CLIP2
cg13423759,-0.0018402802,0.0001594513,4.04E-29,1.92E-23,6.56E-26,NA
cg13125224,0.0013921575,0.0001206339,4.09E-29,1.94E-23,6.58E-26,NA
cg03485667,-0.0012731889,0.0001103279,4.10E-29,1.94E-23,6.58E-26,ZNRF1
cg03720100,-0.0015147741,0.0001314866,5.02E-29,2.38E-23,8.03E-26,NA
cg02571436,-0.001125168,9.77E-05,5.18E-29,2.45E-23,8.24E-26,NA
cg23889047,-0.0016613275,0.000144319,5.50E-29,2.61E-23,8.71E-26,CAMTA1
cg09349128,-0.0013075112,0.0001136261,5.76E-29,2.73E-23,9.07E-26,NA
cg18598117,-0.0018479036,0.0001607175,6.34E-29,3.00E-23,9.94E-26,ARID3A
cg15948030,-0.001019035,8.87E-05,6.68E-29,3.16E-23,1.04E-25,VARS
cg21837069,-0.0013293681,0.000115867,8.16E-29,3.87E-23,1.27E-25,VWA1
cg07813031,-0.0021738181,0.0001895074,8.36E-29,3.96E-23,1.29E-25,NA
cg15451250,-0.0013337451,0.0001162803,8.43E-29,3.99E-23,1.30E-25,TBC1D14
cg03699843,-0.0012116663,0.0001056554,8.61E-29,4.08E-23,1.32E-25,SNX20
cg16600996,-0.001099563,9.59E-05,8.63E-29,4.09E-23,1.32E-25,NA
cg03074244,0.0016571434,0.0001445143,8.70E-29,4.12E-23,1.32E-25,CD3D
cg05877497,-0.0009459362,8.25E-05,9.33E-29,4.42E-23,1.41E-25,MEIS1
cg14349538,-0.0010856055,9.48E-05,1.05E-28,4.99E-23,1.59E-25,IRF5
cg03848483,-0.0008368397,7.31E-05,1.10E-28,5.20E-23,1.64E-25,NA
cg10239319,-0.0017911362,0.0001565247,1.11E-28,5.27E-23,1.66E-25,JAKMIP1
cg18681014,-0.0013242108,0.000115784,1.19E-28,5.62E-23,1.76E-25,NA
cg14830371,-0.0015087277,0.0001319851,1.26E-28,5.96E-23,1.86E-25,NA
cg26170244,-0.0016468846,0.0001445519,1.86E-28,8.81E-23,2.73E-25,NA
cg24024661,-0.0015743373,0.0001382324,1.94E-28,9.17E-23,2.84E-25,HMHA1
cg16174106,-0.0015514174,0.0001363933,2.24E-28,1.06E-22,3.27E-25,HHAT
cg03290131,-0.0017608274,0.0001548894,2.39E-28,1.13E-22,3.48E-25,DUSP5
cg13443592,-0.001270875,0.0001118533,2.55E-28,1.21E-22,3.69E-25,NA
cg10278520,-0.0009273547,8.16E-05,2.59E-28,1.23E-22,3.73E-25,TOX
cg03875330,-0.0011123943,9.79E-05,2.63E-28,1.24E-22,3.77E-25,NA
cg01130991,0.0014030257,0.0001235338,2.67E-28,1.27E-22,3.82E-25,NA
cg13896106,-0.0011310409,9.96E-05,2.72E-28,1.29E-22,3.87E-25,SLC9A3R1
cg16092330,-0.0009819174,8.66E-05,3.26E-28,1.55E-22,4.62E-25,PACS2
cg02449461,-0.0008819743,7.78E-05,3.43E-28,1.63E-22,4.83E-25,ARRB1
cg20924136,-0.0012446311,0.0001098404,3.49E-28,1.65E-22,4.90E-25,FBXO36
cg07352544,-0.001091362,9.63E-05,3.58E-28,1.70E-22,5.01E-25,SEPN1
cg01143068,-0.0015127514,0.0001335448,3.62E-28,1.72E-22,5.04E-25,STARD9
cg19868593,-0.0007676473,6.78E-05,3.95E-28,1.87E-22,5.47E-25,VWA7
cg02971262,-0.0014354541,0.0001268891,4.22E-28,2.00E-22,5.82E-25,NA
cg22695729,-0.0005896926,5.22E-05,4.72E-28,2.23E-22,6.48E-25,NA
cg21228424,0.0018011242,0.0001594696,5.08E-28,2.41E-22,6.95E-25,PRPH2
cg00989249,-0.0011736185,0.0001041906,6.91E-28,3.27E-22,9.42E-25,N4BP3
cg00232092,-0.0012632229,0.0001122404,7.61E-28,3.61E-22,1.03E-24,FBXL18
cg08594681,-0.0015162327,0.0001347349,7.70E-28,3.65E-22,1.04E-24,CLU
cg25583651,-0.0016580522,0.000147371,7.91E-28,3.75E-22,1.06E-24,GABBR1
cg08610901,-0.0019313941,0.000171702,8.10E-28,3.84E-22,1.09E-24,NA
cg10975897,-0.0013540142,0.0001204641,8.83E-28,4.18E-22,1.18E-24,JARID2
cg23707540,-0.0011228561,9.99E-05,9.01E-28,4.27E-22,1.20E-24,CTBP2
cg14619949,-0.0018586645,0.0001655512,1.01E-27,4.76E-22,1.33E-24,F2RL1
cg11873462,-0.0019646119,0.0001751288,1.10E-27,5.22E-22,1.45E-24,ZC3H3
cg13428066,-0.0011396679,0.0001016123,1.13E-27,5.34E-22,1.48E-24,NA
cg13561409,-0.0011612629,0.0001037456,1.41E-27,6.70E-22,1.85E-24,PIP5K1C
cg23580000,-0.0011210596,0.0001002019,1.49E-27,7.07E-22,1.95E-24,ADCY7
cg16776035,-0.0010983454,9.82E-05,1.51E-27,7.14E-22,1.96E-24,NA
cg02571874,-0.0014416455,0.0001289492,1.62E-27,7.67E-22,2.10E-24,TMEM40
cg16348385,-0.0007855743,7.04E-05,1.93E-27,9.14E-22,2.49E-24,YPEL3
cg01894038,-0.0012479532,0.0001118041,1.94E-27,9.20E-22,2.49E-24,NA
cg21081878,-0.0019692282,0.0001764337,1.95E-27,9.26E-22,2.50E-24,HLCS
cg10317026,-0.0006045858,5.42E-05,2.15E-27,1.02E-21,2.74E-24,EFNA3
cg07638500,0.00107288,9.63E-05,2.50E-27,1.18E-21,3.17E-24,MYLK
cg05581878,-0.0012990812,0.0001166918,2.61E-27,1.24E-21,3.30E-24,NA
cg11783834,-0.0013477975,0.0001211542,2.83E-27,1.34E-21,3.56E-24,CLU
cg23169111,-0.0010234083,9.20E-05,2.85E-27,1.35E-21,3.57E-24,AVP
cg02980249,-0.001176509,0.0001059865,3.60E-27,1.70E-21,4.49E-24,VARS
cg07749613,-0.0006202961,5.59E-05,3.60E-27,1.71E-21,4.49E-24,NA
cg14419435,-0.0013208785,0.0001190911,3.95E-27,1.87E-21,4.90E-24,NA
cg26706803,-0.0018820927,0.0001697881,4.21E-27,1.99E-21,5.20E-24,NA
cg26390156,-0.0004594729,4.15E-05,4.75E-27,2.25E-21,5.85E-24,NA
cg27107685,-0.0010472808,9.46E-05,4.85E-27,2.30E-21,5.95E-24,NA
cg02597894,-0.0009506931,8.59E-05,5.31E-27,2.52E-21,6.49E-24,VARS
cg17898925,-0.0014540388,0.0001314679,5.40E-27,2.56E-21,6.58E-24,NA
cg24159436,-0.001389907,0.0001256998,5.55E-27,2.63E-21,6.73E-24,PLCL2
cg19103429,-0.0015456095,0.0001399603,6.39E-27,3.03E-21,7.73E-24,CDK6
cg13932501,-0.0019193332,0.0001738338,6.52E-27,3.09E-21,7.85E-24,AUH
cg11196848,0.0016698115,0.0001513143,6.91E-27,3.27E-21,8.29E-24,FGF20
cg09143713,-0.0014490049,0.0001314513,7.81E-27,3.70E-21,9.34E-24,PLCB4
cg11321035,-0.0011536476,0.0001046735,7.94E-27,3.76E-21,9.47E-24,NA
cg16884222,-0.0013971753,0.0001267744,7.98E-27,3.78E-21,9.47E-24,NEAT1
cg08745334,-0.0009716297,8.82E-05,8.08E-27,3.83E-21,9.56E-24,NA
cg27165456,-0.0015077739,0.0001368549,8.27E-27,3.92E-21,9.76E-24,ELFN1
cg08326019,0.0023004418,0.0002089186,8.80E-27,4.17E-21,1.03E-23,LPPR2
cg04701628,-0.0010286651,9.36E-05,1.03E-26,4.89E-21,1.21E-23,NA
cg19075787,-0.0011218193,0.0001020362,1.04E-26,4.93E-21,1.21E-23,NA
cg12081645,-0.0021033109,0.0001913376,1.06E-26,5.01E-21,1.23E-23,NA
cg05462570,-0.0008652524,7.87E-05,1.07E-26,5.08E-21,1.24E-23,NAALADL1
cg17477052,-0.0022016077,0.0002005921,1.25E-26,5.94E-21,1.45E-23,COL13A1
cg16536330,-0.0007031628,6.41E-05,1.36E-26,6.43E-21,1.56E-23,LEPROTL1
cg07450210,-0.0008211868,7.49E-05,1.39E-26,6.59E-21,1.59E-23,UBAC2
cg21221899,-0.000491376,4.50E-05,1.96E-26,9.27E-21,2.24E-23,ARHGEF28
cg21932231,-0.0016445049,0.0001504555,1.97E-26,9.32E-21,2.24E-23,CRIM1
cg11394785,-0.0006219834,5.69E-05,2.13E-26,1.01E-20,2.41E-23,LTC4S
cg15659420,-0.0017780273,0.0001631665,2.73E-26,1.29E-20,3.09E-23,NAV2
cg12577010,-0.0013147032,0.0001206672,2.78E-26,1.32E-20,3.13E-23,TMEM140
