# "S1 Table: Complete list of methylome-wide significant (p-value < 1.2x10-7) CpGs associated with body mass index in the FHS and LBC meta-analysis
# ",,,,,,,,,,,,,,,,,
# ,,,,,FHS - Batch#1 (n=442),,,FHS - Batch#2 (n=1935),,,LBC 1936 (n=920),,,LBC 1921 (n=446),,,Meta-analysis (n=3743)
# Probename,Gene Name,Chromosome,Position,Strand,β,SE,p-value,β,SE,p-value,β,SE,p-value,β,SE,p-value,p-value
cpg,gene,chr,position,strand,beta.fsh1,std.err.fsh1,p.value.fsh1,beta.fhs2,std.err.fhs2,p.value.fhs2,beta.lbc36,std.err.lbc36,p.value.lbc36,beta.lbc21,std.err.lbc21,p.value.lbc21,p.value
cg26403843,RNF145,5,158634085,R,0.0187,0.00954,5.20E-02,0.0216,0.00395,5.30E-08,0.0085,0.00277,2.22E-03,0.0097,0.00426,2.28E-02,5.83E-12
cg09349128,,22,50327986,R,-0.0240,0.00976,1.51E-02,-0.0221,0.00412,9.36E-08,-0.0046,0.00121,1.72E-04,-0.0013,0.00208,5.30E-01,1.33E-11
cg17641710,GNAI2,3,50279038,R,0.0148,0.00975,1.30E-01,0.0280,0.00415,2.27E-11,0.0019,0.00112,9.15E-02,0.0027,0.00171,1.17E-01,1.84E-11
cg22650271,SYNGR1,22,39760165,F,0.0208,0.00952,3.01E-02,0.0226,0.00411,4.96E-08,0.0041,0.00131,1.86E-03,0.0029,0.00206,1.63E-01,2.12E-11
cg27115863,,22,37921640,R,-0.0307,0.00940,1.32E-03,-0.0155,0.00401,1.11E-04,-0.0065,0.00173,1.77E-04,-0.0073,0.00263,5.61E-03,2.19E-11
cg27637521,SOCS3,17,76355202,R,-0.0301,0.00943,1.73E-03,-0.0225,0.00406,3.54E-08,-0.0074,0.00262,5.03E-03,-0.0021,0.00357,5.47E-01,2.87E-11
cg10508317,SOCS3,17,76355146,R,-0.0299,0.00955,2.04E-03,-0.0244,0.00404,2.23E-09,-0.0054,0.00284,5.53E-02,-0.0034,0.00356,3.44E-01,2.90E-11
cg13305415,SPRY4,5,141697464,F,0.0080,0.00956,4.03E-01,0.0240,0.00408,4.94E-09,0.0061,0.00208,3.58E-03,0.0060,0.00308,5.06E-02,3.70E-11
cg02716826,SUGT1P1;AQP3,9,33447032,R,-0.0236,0.00957,1.47E-02,-0.0199,0.00408,1.27E-06,-0.0047,0.00127,2.18E-04,-0.0027,0.00205,1.89E-01,3.73E-11
cg14476101,PHGDH,1,120255992,R,-0.0276,0.00956,4.42E-03,-0.0232,0.00410,1.90E-08,-0.0066,0.00226,3.70E-03,-0.0009,0.00337,7.84E-01,5.03E-11
cg09664445,KIAA0664,17,2612406,F,0.0190,0.00946,4.60E-02,0.0262,0.00411,2.79E-10,0.0013,0.00113,2.35E-01,0.0036,0.00168,3.28E-02,5.56E-11
cg12484113,AHDC1,1,27898757,F,0.0023,0.00967,8.15E-01,0.0243,0.00414,5.86E-09,0.0039,0.00113,5.34E-04,0.0030,0.00189,1.11E-01,6.28E-11
cg07504977,,10,102131012,R,0.0214,0.00968,2.85E-02,0.0216,0.00414,1.98E-07,0.0059,0.00202,3.84E-03,0.0050,0.00294,9.14E-02,7.34E-11
cg17836612,LGALS3BP,17,76976357,R,0.0259,0.00946,6.86E-03,0.0161,0.00405,7.52E-05,0.0063,0.00145,1.61E-05,0.0040,0.00255,1.15E-01,1.05E-10
cg07012687,SLC16A,17,80195180,F,0.0069,0.00938,4.63E-01,0.0218,0.00403,7.37E-08,0.0052,0.00140,2.06E-04,0.0037,0.00265,1.59E-01,1.10E-10
cg18772573,CPSF4L,17,71257980,F,0.0032,0.00963,7.37E-01,0.0247,0.00417,4.07E-09,0.0052,0.00169,2.05E-03,0.0042,0.00251,9.63E-02,1.11E-10
cg26950531,DPF1,19,38704515,F,-0.0142,0.00967,1.43E-01,-0.0256,0.00402,2.71E-10,-0.0047,0.00278,9.39E-02,-0.0069,0.00419,1.01E-01,1.13E-10
cg21429551,GARS,7,30635762,F,-0.0199,0.00940,3.57E-02,-0.0210,0.00398,1.62E-07,-0.0066,0.00301,2.77E-02,-0.0118,0.00481,1.43E-02,1.31E-10
cg01455178,SLC45A3,1,205648187,F,0.0234,0.00969,1.68E-02,0.0206,0.00417,8.90E-07,0.0053,0.00172,2.27E-03,0.0043,0.00270,1.13E-01,1.35E-10
cg01881899,ABCG1,21,43652704,R,0.0137,0.00925,1.40E-01,0.0217,0.00391,3.21E-08,0.0061,0.00233,8.97E-03,0.0079,0.00426,6.56E-02,1.37E-10
cg17782974,TRIM8,10,104406990,R,0.0087,0.00962,3.68E-01,0.0174,0.00405,1.91E-05,0.0098,0.00212,4.82E-06,0.0073,0.00343,3.38E-02,1.79E-10
cg17194270,SYNGR1,22,39759992,R,0.0087,0.00973,3.74E-01,0.0197,0.00411,1.72E-06,0.0064,0.00173,2.44E-04,0.0067,0.00284,1.87E-02,1.86E-10
cg16611584,AKAP10,17,19809078,F,0.0156,0.00970,1.11E-01,0.0177,0.00408,1.56E-05,0.0124,0.00296,3.16E-05,0.0084,0.00469,7.42E-02,2.40E-10
cg26470501,BCL3,19,45252955,F,-0.0341,0.00925,3.16E-04,-0.0200,0.00403,8.18E-07,-0.0037,0.00133,5.46E-03,-0.0009,0.00221,6.78E-01,2.63E-10
cg07730360,,3,128845626,F,0.0259,0.00916,5.27E-03,0.0237,0.00406,6.94E-09,0.0027,0.00142,5.56E-02,0.0012,0.00207,5.74E-01,3.32E-10
cg17738521,HIVEP2,6,143224179,R,-0.0222,0.00976,2.46E-02,-0.0277,0.00412,2.80E-11,0.0000,0.00324,9.89E-01,-0.0090,0.00444,4.33E-02,3.51E-10
cg07960624,SAMD12,8,119208486,R,-0.0270,0.00895,2.94E-03,-0.0180,0.00403,8.83E-06,-0.0076,0.00238,1.54E-03,-0.0047,0.00357,1.87E-01,4.12E-10
cg06192883,MYO5C,15,52554171,R,0.0140,0.00925,1.32E-01,0.0176,0.00405,1.53E-05,0.0066,0.00148,9.44E-06,0.0026,0.00266,3.38E-01,7.34E-10
cg18181703,SOCS3,17,76354621,R,-0.0255,0.00931,6.90E-03,-0.0258,0.00402,2.12E-10,-0.0023,0.00166,1.61E-01,0.0006,0.00235,7.97E-01,9.05E-10
cg27394566,PLD4,14,105391635,R,0.0287,0.00971,3.64E-03,0.0140,0.00416,7.81E-04,0.0057,0.00158,3.10E-04,0.0069,0.00261,8.57E-03,1.04E-09
cg18098839,GOLIM4,3,167742700,R,-0.0219,0.00959,2.37E-02,-0.0222,0.00409,7.04E-08,-0.0070,0.00246,4.40E-03,0.0000,0.00437,9.95E-01,1.21E-09
cg23813257,IL32,16,3115286,R,-0.0096,0.00983,3.31E-01,-0.0228,0.00416,5.28E-08,-0.0028,0.00101,5.19E-03,-0.0021,0.00175,2.21E-01,1.34E-09
cg07573872,SBNO2,19,1126342,R,-0.0208,0.00971,3.38E-02,-0.0201,0.00415,1.35E-06,-0.0073,0.00212,5.57E-04,-0.0010,0.00265,6.97E-01,1.35E-09
cg00108715,NT5DC2,3,52565015,F,0.0174,0.00921,6.09E-02,0.0180,0.00403,8.45E-06,0.0038,0.00134,4.23E-03,0.0048,0.00219,2.79E-02,1.71E-09
cg24531955,LOXL2,8,23154691,R,-0.0267,0.00968,6.56E-03,-0.0216,0.00411,1.87E-07,-0.0045,0.00188,1.61E-02,-0.0007,0.00280,8.02E-01,2.26E-09
cg17058475,CPT1A,11,68607737,R,-0.0340,0.00964,5.40E-04,-0.0219,0.00413,1.25E-07,-0.0062,0.00334,6.30E-02,-0.0006,0.00471,8.93E-01,2.28E-09
cg26191447,,2,191656418,R,-0.0133,0.00940,1.60E-01,-0.0205,0.00401,3.90E-07,-0.0047,0.00259,6.80E-02,-0.0106,0.00390,7.06E-03,2.46E-09
cg24678869,DENND4B,1,153919638,F,0.0019,0.00948,8.40E-01,0.0219,0.00407,8.71E-08,0.0034,0.00108,1.59E-03,0.0025,0.00184,1.73E-01,2.56E-09
cg13134297,,7,30737556,F,-0.0205,0.00973,3.62E-02,-0.0227,0.00414,5.35E-08,-0.0048,0.00207,1.96E-02,-0.0010,0.00280,7.33E-01,3.21E-09
cg12458003,NFASC,1,204960826,R,0.0080,0.00982,4.17E-01,0.0243,0.00412,4.64E-09,0.0018,0.00145,2.24E-01,0.0056,0.00240,2.10E-02,3.75E-09
cg03682690,SYNGR1,22,39759848,R,0.0213,0.00970,3.00E-02,0.0169,0.00418,5.36E-05,0.0064,0.00201,1.53E-03,0.0066,0.00338,5.10E-02,3.76E-09
cg10474597,SERPINE3,13,51917676,F,0.0159,0.00910,8.29E-02,0.0241,0.00397,1.74E-09,0.0020,0.00239,4.07E-01,0.0054,0.00344,1.14E-01,3.82E-09
cg03725309,SARS,1,109757585,F,-0.0273,0.00897,2.78E-03,-0.0170,0.00369,4.59E-06,-0.0051,0.00230,2.81E-02,-0.0045,0.00328,1.75E-01,3.93E-09
cg26894079,ASAM,11,122954435,F,-0.0262,0.00977,8.08E-03,-0.0213,0.00415,3.29E-07,-0.0029,0.00191,1.27E-01,-0.0043,0.00276,1.21E-01,4.06E-09
cg10717869,SLC41A1,1,205780912,R,0.0196,0.00966,4.40E-02,0.0145,0.00413,4.71E-04,0.0049,0.00139,4.03E-04,0.0055,0.00204,7.66E-03,4.26E-09
cg13123009,LY6G6E,6,31681882,R,0.0168,0.00954,8.00E-02,0.0225,0.00409,4.84E-08,0.0020,0.00117,8.90E-02,0.0024,0.00169,1.60E-01,4.57E-09
cg22012981,ACOX2,3,58522689,R,0.0170,0.00975,8.32E-02,0.0180,0.00412,1.35E-05,0.0044,0.00136,1.33E-03,0.0031,0.00199,1.17E-01,4.65E-09
cg22950899,PTPRS,19,5253997,F,0.0201,0.00971,3.96E-02,0.0235,0.00414,1.62E-08,0.0016,0.00192,3.93E-01,0.0056,0.00293,5.84E-02,4.85E-09
cg06946797,,16,11422409,F,-0.0201,0.00960,3.83E-02,-0.0175,0.00411,2.21E-05,-0.0088,0.00213,3.70E-05,-0.0002,0.00307,9.50E-01,5.22E-09
cg26361535,ZC3H3,8,144576604,F,-0.0015,0.00960,8.73E-01,0.0208,0.00415,6.21E-07,0.0068,0.00226,2.62E-03,0.0082,0.00347,1.83E-02,5.46E-09
cg04286697,B3GNT7,2,232259623,F,0.0141,0.00956,1.43E-01,0.0227,0.00413,4.42E-08,0.0026,0.00141,6.51E-02,0.0031,0.00231,1.87E-01,5.96E-09
cg26651978,,17,76965407,R,-0.0295,0.00924,1.71E-03,-0.0161,0.00407,7.63E-05,-0.0030,0.00132,2.52E-02,-0.0042,0.00187,2.40E-02,6.24E-09
cg23998749,,1,154968781,F,0.0040,0.00918,6.61E-01,0.0242,0.00405,3.15E-09,0.0034,0.00161,3.56E-02,0.0026,0.00273,3.42E-01,7.03E-09
cg07814318,KLF13,15,31624584,R,0.0155,0.00983,1.18E-01,0.0268,0.00416,1.53E-10,0.0024,0.00197,2.20E-01,0.0001,0.00283,9.75E-01,7.44E-09
cg19017142,,2,64431245,R,-0.0307,0.00958,1.67E-03,-0.0215,0.00410,1.80E-07,-0.0028,0.00260,2.75E-01,-0.0038,0.00340,2.64E-01,7.86E-09
cg25392060,,8,142297121,R,0.0067,0.00934,4.72E-01,0.0267,0.00404,5.21E-11,0.0010,0.00132,4.38E-01,0.0026,0.00227,2.45E-01,8.13E-09
cg08857797,VPS25,17,40927699,R,0.0087,0.00971,3.71E-01,0.0196,0.00417,2.77E-06,0.0030,0.00161,6.18E-02,0.0100,0.00293,7.43E-04,8.40E-09
cg01243823,NOD2,16,50732212,R,-0.0056,0.00962,5.63E-01,-0.0186,0.00394,2.72E-06,-0.0066,0.00185,3.62E-04,-0.0034,0.00283,2.30E-01,8.50E-09
cg08548559,PIK3IP1,22,31686097,R,-0.0092,0.00970,3.45E-01,-0.0278,0.00407,1.33E-11,-0.0017,0.00221,4.31E-01,-0.0016,0.00362,6.52E-01,8.73E-09
cg10919522,C14orf43,14,74227441,F,-0.0117,0.00962,2.25E-01,-0.0214,0.00407,1.72E-07,-0.0050,0.00186,7.39E-03,-0.0019,0.00302,5.22E-01,9.71E-09
cg25649826,USP22,17,20938740,R,0.0065,0.00956,4.94E-01,0.0207,0.00416,7.29E-07,0.0044,0.00151,3.55E-03,0.0033,0.00240,1.68E-01,1.05E-08
cg04483863,,5,173171737,R,0.0007,0.00959,9.41E-01,0.0229,0.00415,3.85E-08,0.0050,0.00221,2.33E-02,0.0057,0.00322,7.76E-02,1.09E-08
cg07037944,DAPK2,15,64290807,R,-0.0220,0.00972,2.49E-02,-0.0174,0.00415,2.80E-05,-0.0048,0.00144,8.56E-04,-0.0019,0.00249,4.54E-01,1.19E-08
cg24145109,,1,5806951,R,0.0070,0.00936,4.57E-01,0.0203,0.00402,4.91E-07,0.0092,0.00286,1.32E-03,0.0031,0.00478,5.19E-01,1.23E-08
cg08639339,SLC45A3,1,205648336,R,0.0115,0.00969,2.35E-01,0.0192,0.00418,4.70E-06,0.0038,0.00134,4.22E-03,0.0035,0.00209,9.70E-02,1.25E-08
cg01751802,KANK2,19,11309639,R,0.0252,0.00962,9.51E-03,0.0153,0.00417,2.61E-04,0.0056,0.00170,1.02E-03,0.0036,0.00231,1.19E-01,1.32E-08
cg15880704,RBM20,10,112546110,F,0.0184,0.00966,5.91E-02,0.0195,0.00416,3.18E-06,0.0022,0.00111,4.36E-02,0.0032,0.00164,4.99E-02,1.36E-08
cg13274938,RARA,17,38493822,F,0.0050,0.00947,5.97E-01,0.0251,0.00412,1.41E-09,0.0019,0.00144,1.90E-01,0.0030,0.00219,1.68E-01,1.43E-08
cg21670987,ATP8B4,15,50350432,F,-0.0216,0.00978,2.89E-02,-0.0183,0.00412,9.38E-06,-0.0094,0.00276,7.08E-04,-0.0003,0.00471,9.50E-01,1.60E-08
cg10192877,ABCG1,21,43641690,F,0.0127,0.00981,1.96E-01,0.0225,0.00416,8.29E-08,0.0016,0.00103,1.16E-01,0.0030,0.00186,1.06E-01,1.68E-08
cg06876354,RALB,2,121020189,F,0.0086,0.00980,3.82E-01,0.0136,0.00419,1.17E-03,0.0041,0.00118,5.60E-04,0.0067,0.00175,1.43E-04,1.68E-08
cg16739178,,16,85470674,R,0.0122,0.00965,2.06E-01,0.0204,0.00417,1.12E-06,0.0023,0.00137,9.39E-02,0.0052,0.00204,1.13E-02,1.71E-08
cg14333542,,10,75647561,R,0.0186,0.00882,3.62E-02,0.0183,0.00401,5.63E-06,0.0041,0.00157,9.11E-03,0.0024,0.00238,3.16E-01,1.80E-08
cg09607047,MIR365-1,16,14402157,R,0.0268,0.00973,6.59E-03,0.0217,0.00415,1.94E-07,0.0014,0.00146,3.31E-01,0.0022,0.00173,1.95E-01,1.96E-08
cg07021906,SLC7A5,16,87866833,R,0.0071,0.00963,4.62E-01,0.0219,0.00416,1.72E-07,0.0034,0.00158,3.19E-02,0.0049,0.00315,1.23E-01,2.01E-08
cg03218374,ANGPT4,20,896981,F,0.0144,0.00970,1.39E-01,0.0245,0.00411,3.16E-09,0.0016,0.00212,4.64E-01,0.0044,0.00335,1.95E-01,2.28E-08
cg07955474,IRF8,16,85935556,F,-0.0106,0.00983,2.82E-01,-0.0175,0.00411,2.27E-05,-0.0070,0.00167,3.09E-05,-0.0008,0.00292,7.94E-01,2.40E-08
cg11673687,SLC9A1,1,27426555,F,0.0224,0.00958,2.07E-02,0.0213,0.00414,3.19E-07,0.0017,0.00146,2.52E-01,0.0034,0.00223,1.28E-01,2.52E-08
cg01798813,,17,3906674,F,0.0088,0.00984,3.71E-01,0.0204,0.00418,1.15E-06,0.0085,0.00274,1.90E-03,0.0029,0.00463,5.34E-01,2.57E-08
cg04011474,,2,28904455,R,-0.0076,0.00976,4.40E-01,-0.0163,0.00416,9.17E-05,-0.0065,0.00182,3.31E-04,-0.0055,0.00264,3.89E-02,2.59E-08
cg14509967,LOC404266,17,46679135,F,0.0178,0.00941,6.04E-02,0.0183,0.00407,7.49E-06,0.0066,0.00313,3.55E-02,0.0095,0.00507,6.23E-02,2.79E-08
cg26800893,ATPGD1,11,67184596,R,-0.0088,0.00982,3.69E-01,-0.0215,0.00414,2.28E-07,-0.0050,0.00190,8.23E-03,-0.0016,0.00283,5.64E-01,2.87E-08
cg10092518,DAB1,1,57670054,R,-0.0210,0.00965,3.09E-02,-0.0197,0.00413,2.15E-06,-0.0043,0.00232,6.44E-02,-0.0043,0.00320,1.75E-01,3.01E-08
cg01368219,CACNA2D3,3,54999791,F,0.0234,0.00954,1.50E-02,0.0182,0.00408,8.89E-06,0.0032,0.00169,5.93E-02,0.0046,0.00281,1.05E-01,3.20E-08
cg13276570,ANKRD33B,5,10567643,R,0.0138,0.00974,1.58E-01,0.0244,0.00416,5.92E-09,0.0024,0.00334,4.74E-01,0.0088,0.00634,1.65E-01,3.52E-08
cg25217710,,1,156609523,R,-0.0058,0.00966,5.46E-01,0.0251,0.00414,1.81E-09,0.0019,0.00129,1.40E-01,0.0039,0.00206,5.93E-02,3.71E-08
cg01130991,,17,46510392,F,0.0231,0.00971,1.85E-02,0.0212,0.00415,4.02E-07,0.0043,0.00300,1.48E-01,0.0037,0.00411,3.72E-01,4.00E-08
cg11261850,,11,76320970,R,0.0157,0.00963,1.04E-01,0.0162,0.00417,1.02E-04,0.0060,0.00228,8.13E-03,0.0077,0.00319,1.63E-02,4.01E-08
cg22875823,SYNGAP1,6,33400543,F,0.0102,0.00977,2.97E-01,0.0172,0.00417,4.20E-05,0.0089,0.00227,9.45E-05,0.0025,0.00363,4.98E-01,4.28E-08
cg04557677,JAK3,19,17959082,F,-0.0146,0.00927,1.18E-01,-0.0185,0.00400,4.42E-06,-0.0052,0.00193,7.47E-03,-0.0025,0.00292,3.89E-01,4.53E-08
cg27470213,LGALS3BP,17,76967695,R,-0.0269,0.00932,4.39E-03,-0.0140,0.00394,4.12E-04,-0.0080,0.00267,2.81E-03,-0.0057,0.00423,1.81E-01,4.63E-08
cg22713958,LGALS3BP,17,76976245,R,0.0170,0.00943,7.38E-02,0.0134,0.00408,1.02E-03,0.0060,0.00139,1.48E-05,0.0021,0.00214,3.32E-01,4.74E-08
cg05119988,SC4MOL,4,166251189,F,-0.0126,0.00967,1.93E-01,-0.0186,0.00416,8.40E-06,-0.0095,0.00252,1.77E-04,0.0007,0.00370,8.49E-01,4.87E-08
cg14780837,SYNGR1,22,39760267,R,0.0049,0.00949,6.07E-01,0.0176,0.00403,1.30E-05,0.0078,0.00243,1.33E-03,0.0062,0.00388,1.11E-01,4.96E-08
cg18091083,RPTOR,17,78819092,F,0.0042,0.00979,6.71E-01,0.0214,0.00411,2.20E-07,0.0053,0.00282,6.00E-02,0.0077,0.00412,6.25E-02,5.04E-08
cg00222799,ABCG1,21,43655464,F,-0.0044,0.00931,6.34E-01,0.0203,0.00411,9.40E-07,0.0040,0.00164,1.50E-02,0.0060,0.00235,1.09E-02,5.27E-08
cg13708645,KDM2B,12,121974305,R,0.0018,0.00976,8.57E-01,0.0187,0.00414,6.41E-06,0.0051,0.00160,1.54E-03,0.0040,0.00247,1.03E-01,5.35E-08
cg11152384,,11,68934300,R,-0.0340,0.00965,5.46E-04,-0.0160,0.00416,1.28E-04,-0.0059,0.00231,1.06E-02,-0.0024,0.00372,5.26E-01,5.40E-08
cg26955383,CALHM1,10,105218660,R,0.0088,0.00975,3.65E-01,0.0210,0.00411,4.00E-07,0.0036,0.00163,2.68E-02,0.0032,0.00311,3.03E-01,6.04E-08
cg03500056,ABAT,16,8814507,F,0.0097,0.00958,3.14E-01,0.0224,0.00412,6.48E-08,0.0016,0.00140,2.54E-01,0.0040,0.00224,7.73E-02,6.19E-08
cg09182678,,22,50328711,F,-0.0265,0.00956,6.15E-03,-0.0140,0.00409,6.24E-04,-0.0054,0.00175,1.99E-03,-0.0038,0.00275,1.68E-01,6.22E-08
cg02711608,SLC1A5,19,47287964,F,-0.0270,0.00954,5.22E-03,-0.0131,0.00405,1.27E-03,-0.0058,0.00178,1.04E-03,-0.0040,0.00273,1.41E-01,6.25E-08
cg02286155,,5,176826262,R,0.0189,0.00974,5.38E-02,0.0177,0.00418,2.45E-05,0.0025,0.00113,2.64E-02,0.0033,0.00186,7.79E-02,6.39E-08
cg04816311,C7orf50,7,1066650,F,0.0131,0.00965,1.75E-01,0.0169,0.00414,4.76E-05,0.0069,0.00245,4.88E-03,0.0072,0.00405,7.55E-02,6.68E-08
cg13028635,,11,1871244,F,0.0025,0.00981,8.03E-01,0.0238,0.00416,1.40E-08,0.0020,0.00119,9.82E-02,0.0026,0.00220,2.39E-01,6.68E-08
cg12593793,,1,156074135,F,-0.0250,0.00959,1.00E-02,-0.0175,0.00411,2.30E-05,-0.0038,0.00141,7.84E-03,-0.0008,0.00215,7.07E-01,7.12E-08
cg23172671,,1,203482523,R,0.0108,0.00950,2.56E-01,0.0163,0.00401,4.87E-05,0.0058,0.00201,3.88E-03,0.0059,0.00321,6.45E-02,7.47E-08
cg14017402,,2,86225602,R,0.0215,0.00951,2.52E-02,0.0177,0.00414,2.11E-05,0.0046,0.00183,1.25E-02,0.0023,0.00261,3.86E-01,7.75E-08
cg13139542,,2,8242815,R,-0.0014,0.00975,8.85E-01,0.0215,0.00418,3.14E-07,0.0061,0.00197,1.93E-03,0.0020,0.00361,5.72E-01,7.93E-08
cg14352682,C6orf136,6,30614168,R,0.0109,0.00950,2.54E-01,0.0156,0.00412,1.67E-04,0.0036,0.00123,3.68E-03,0.0042,0.00178,1.81E-02,8.84E-08
cg01671681,PLCH1,3,155421735,F,-0.0162,0.00899,7.29E-02,-0.0168,0.00393,2.06E-05,-0.0049,0.00182,6.66E-03,-0.0026,0.00299,3.77E-01,9.53E-08
cg12001357,CHRNG,2,233410852,F,-0.0225,0.00969,2.18E-02,-0.0196,0.00417,2.82E-06,-0.0031,0.00200,1.24E-01,-0.0034,0.00292,2.43E-01,9.87E-08
cg02571142,DKK4,8,42234803,R,0.0059,0.00961,5.42E-01,0.0208,0.00417,6.93E-07,0.0037,0.00210,7.83E-02,0.0067,0.00340,5.03E-02,9.91E-08
cg20507228,MAN2A2,15,91460071,R,0.0118,0.00969,2.24E-01,0.0152,0.00417,2.84E-04,0.0054,0.00194,5.29E-03,0.0077,0.00287,7.57E-03,1.01E-07
cg09491962,SLIT1,10,98900771,R,-0.0336,0.00964,6.27E-04,-0.0120,0.00419,4.39E-03,-0.0040,0.00119,7.47E-04,-0.0022,0.00179,2.24E-01,1.05E-07
cg21766592,SLC1A5,19,47288066,R,-0.0182,0.00944,5.56E-02,-0.0125,0.00398,1.72E-03,-0.0123,0.00316,1.01E-04,-0.0062,0.00452,1.68E-01,1.07E-07
cg01597398,,17,40250727,F,-0.0280,0.00968,4.41E-03,-0.0212,0.00413,3.20E-07,-0.0014,0.00136,2.90E-01,-0.0007,0.00199,7.32E-01,1.08E-07
cg01526748,FGF12,3,191930926,R,0.0142,0.00974,1.46E-01,0.0189,0.00414,5.65E-06,0.0077,0.00257,2.68E-03,0.0004,0.00410,9.25E-01,1.18E-07

