#CpG,Coefficient estimate (slope),Standard error,p value,Bonferroni p,q value (FDR),Gene
cpg,beta,std.err,p.value,bonferroni,fdr,gene
cg27504369,-0.0017673602,0.0001277411,4.04E-40,1.91E-34,1.13E-36,APOBEC3A
cg19913563,-0.0023639802,0.0001714152,6.95E-40,3.29E-34,1.93E-36,NA
cg04416898,-0.0013994117,0.0001017334,1.07E-39,5.05E-34,2.92E-36,CXXC5
cg10278520,-0.0009868632,7.18E-05,1.07E-39,5.08E-34,2.92E-36,TOX
cg20068209,-0.0024171638,0.0001758882,1.20E-39,5.69E-34,3.24E-36,TMEM30A
cg00547530,-0.0009000655,6.55E-05,1.23E-39,5.82E-34,3.28E-36,CLUAP1
cg01787084,-0.0022393839,0.0001631332,1.44E-39,6.80E-34,3.80E-36,FBXO31
cg24095374,-0.0009841141,7.17E-05,1.48E-39,7.01E-34,3.88E-36,RGS14
cg13492133,0.0020009432,0.000145962,1.79E-39,8.47E-34,4.64E-36,SMG7
cg06518251,-0.0012800156,9.35E-05,2.38E-39,1.13E-33,6.13E-36,ALDH3B1
cg24257309,-0.0016528253,0.0001208974,2.76E-39,1.31E-33,7.05E-36,AVP
cg10343364,-0.0016547536,0.0001211249,3.12E-39,1.48E-33,7.89E-36,CLUAP1
cg15013617,-0.0020113766,0.0001473436,3.62E-39,1.72E-33,9.08E-36,C20orf141
cg25144135,-0.0015783553,0.0001156784,3.79E-39,1.79E-33,9.41E-36,NA
cg16140253,-0.0010509175,7.71E-05,4.71E-39,2.23E-33,1.16E-35,AMPD2
cg27565899,-0.001228946,9.04E-05,6.73E-39,3.19E-33,1.64E-35,AMPD2
cg07807026,-0.0014650148,0.0001081429,1.19E-38,5.63E-33,2.88E-35,NA
cg18082788,-0.0017819908,0.0001321305,2.36E-38,1.12E-32,5.67E-35,ZC3H12D
cg25095518,-0.0013125924,9.74E-05,2.46E-38,1.17E-32,5.87E-35,ZAP70
cg24020157,-0.0019466057,0.0001444316,2.62E-38,1.24E-32,6.19E-35,RASGEF1A
cg05298628,-0.0013903945,0.0001032293,2.90E-38,1.37E-32,6.78E-35,VPS37B
cg12697139,-0.0021740958,0.000161444,2.98E-38,1.41E-32,6.92E-35,NA
cg11368628,-0.0012600243,9.38E-05,4.09E-38,1.94E-32,9.43E-35,SYT8
cg00119811,-0.0010420957,7.77E-05,5.07E-38,2.40E-32,1.16E-34,ARHGEF28
cg25020550,-0.0016445252,0.0001226103,5.55E-38,2.63E-32,1.26E-34,TG
cg20112500,-0.0014605042,0.0001091643,8.17E-38,3.87E-32,1.84E-34,HCG22
cg01429256,-0.001249171,9.35E-05,9.38E-38,4.44E-32,2.09E-34,RAI1
cg02567958,-0.000729291,5.46E-05,1.21E-37,5.74E-32,2.68E-34,CDC42EP1
cg05211189,-0.0019411976,0.0001454649,1.22E-37,5.77E-32,2.68E-34,ZNF598
cg05969150,-0.0018594631,0.0001394071,1.31E-37,6.21E-32,2.86E-34,ZFHX3
cg14276580,-0.0016319976,0.0001225949,1.79E-37,8.48E-32,3.88E-34,NA
cg11436362,-0.0015950591,0.0001199126,1.99E-37,9.43E-32,4.28E-34,ADRBK1
cg27184903,0.001663363,0.0001253002,2.82E-37,1.34E-31,6.01E-34,APBA2
cg22117805,-0.0032520637,0.0002454778,3.69E-37,1.75E-31,7.81E-34,PRR5L
cg14258501,-0.0014544765,0.0001098391,3.93E-37,1.86E-31,8.26E-34,LY6G6E
cg02017450,-0.0029651872,0.0002239895,4.10E-37,1.94E-31,8.56E-34,NA
cg17452301,-0.0013962905,0.0001056868,5.58E-37,2.64E-31,1.16E-33,PWWP2B
cg25363679,0.0017021251,0.0001290324,6.98E-37,3.31E-31,1.43E-33,PTPRB
cg11873462,-0.0025209545,0.000191113,7.02E-37,3.33E-31,1.43E-33,ZC3H3
cg22277972,-0.0006398875,4.86E-05,8.43E-37,3.99E-31,1.71E-33,ISCU
cg07136133,-0.0029836402,0.0002273728,1.53E-36,7.26E-31,3.09E-33,PRR5L
cg17924072,-0.0017356267,0.000132405,1.79E-36,8.49E-31,3.58E-33,HMHA1
cg17501395,-0.0017818359,0.0001360683,2.08E-36,9.87E-31,4.14E-33,ZC3H12D
cg08965235,-0.0011764566,9.00E-05,2.53E-36,1.20E-30,4.99E-33,LTBP3
cg25362050,-0.0010625217,8.19E-05,8.55E-36,4.05E-30,1.67E-32,RARA
cg22761205,-0.0015939016,0.0001229542,9.22E-36,4.37E-30,1.79E-32,PTDSS2
cg08217545,-0.0016714077,0.0001290862,1.10E-35,5.19E-30,2.12E-32,NFIC
cg13586051,-0.0016620159,0.0001290694,2.47E-35,1.17E-29,4.74E-32,DNASE1L3
cg07573872,-0.0013001953,0.0001010194,2.60E-35,1.23E-29,4.96E-32,SBNO2
cg25157472,-0.0012843933,9.99E-05,3.17E-35,1.50E-29,6.00E-32,IQSEC1
cg13300689,-0.0008515279,6.63E-05,3.22E-35,1.52E-29,6.04E-32,CLEC2D
cg06897661,-0.0011289097,8.78E-05,3.23E-35,1.53E-29,6.04E-32,ADCY7
cg19695266,-0.00075382,5.87E-05,4.06E-35,1.92E-29,7.53E-32,ACAP3
cg24166457,-0.0020018396,0.0001560376,4.19E-35,1.98E-29,7.72E-32,GEMIN7
cg25072666,-0.0009988395,7.79E-05,4.23E-35,2.01E-29,7.76E-32,NPLOC4
cg01229865,-0.0020137501,0.0001573763,6.01E-35,2.85E-29,1.10E-31,ATP11A
cg00186909,-0.0015993423,0.0001250583,6.50E-35,3.08E-29,1.18E-31,PLEKHG7
cg04521626,-0.0020161726,0.0001577299,7.05E-35,3.34E-29,1.27E-31,PLD2
cg21374307,-0.0018367092,0.0001438394,8.13E-35,3.85E-29,1.45E-31,SCHIP1
cg20072118,-0.0017523852,0.0001372777,8.45E-35,4.00E-29,1.50E-31,NA
cg09879334,-0.0010958542,8.59E-05,9.66E-35,4.58E-29,1.70E-31,NA
cg11352146,-0.0003803954,2.98E-05,1.05E-34,4.99E-29,1.85E-31,NEAT1
cg14479136,-0.0012176969,9.56E-05,1.11E-34,5.26E-29,1.93E-31,NA
cg20258698,-0.0020820116,0.0001634697,1.16E-34,5.52E-29,2.02E-31,TNS3
cg23482898,-0.0011827962,9.30E-05,1.40E-34,6.65E-29,2.42E-31,CAND2
cg23378033,-0.0017477927,0.0001375295,1.59E-34,7.51E-29,2.71E-31,MSRB3
cg04340651,-0.0020713506,0.0001631086,1.76E-34,8.33E-29,2.99E-31,RGMA
cg22608507,-0.001416813,0.0001115833,1.79E-34,8.50E-29,3.04E-31,VPS37B
cg26433582,-0.0018757056,0.0001478322,1.99E-34,9.42E-29,3.34E-31,TPCN2
cg17313709,-0.0017318428,0.0001366165,2.27E-34,1.07E-28,3.79E-31,NA
cg20253872,-0.0009297932,7.34E-05,2.31E-34,1.10E-28,3.85E-31,AMPD2
cg14427590,0.0012719842,0.000100478,2.75E-34,1.30E-28,4.54E-31,NA
cg16398956,-0.0010464539,8.28E-05,3.19E-34,1.51E-28,5.24E-31,NA
cg16890093,-0.0010812954,8.57E-05,4.52E-34,2.14E-28,7.39E-31,NA
cg14527110,-0.0012062062,9.56E-05,4.62E-34,2.19E-28,7.51E-31,P4HA2
cg13283635,-0.0015343055,0.000121899,6.09E-34,2.89E-28,9.81E-31,COL9A3
cg04094640,-0.0012437831,9.88E-05,6.11E-34,2.89E-28,9.81E-31,NSMCE1
cg01799671,-0.0024893814,0.000197874,6.54E-34,3.10E-28,1.04E-30,CMIP
cg25202280,-0.0008365119,6.65E-05,7.09E-34,3.36E-28,1.13E-30,NA
cg13136655,-0.0014073275,0.0001120287,7.97E-34,3.78E-28,1.26E-30,ZC3H12D
cg07306253,-0.0011720694,9.33E-05,8.16E-34,3.86E-28,1.28E-30,NA
cg27107685,-0.0009648992,7.69E-05,9.06E-34,4.29E-28,1.42E-30,NA
cg04494800,-0.0015315062,0.0001222178,1.13E-33,5.35E-28,1.75E-30,ZC3H12D
cg24924577,-0.0018098229,0.000144631,1.36E-33,6.46E-28,2.11E-30,SEMA4B
cg00781658,-0.0014981801,0.0001197281,1.37E-33,6.50E-28,2.11E-30,HNRNPUL1
cg00382138,-0.0019355764,0.0001549572,1.74E-33,8.25E-28,2.66E-30,CFI
cg16705546,-0.0019967276,0.0001600305,2.03E-33,9.60E-28,3.08E-30,IRF8
cg25773386,-0.0008931739,7.18E-05,2.98E-33,1.41E-27,4.49E-30,GPR62
cg16437021,-0.0015415688,0.0001239034,2.98E-33,1.41E-27,4.49E-30,ANKRD11
cg19136673,-0.0014527267,0.0001167936,3.09E-33,1.47E-27,4.63E-30,NA
cg03048432,-0.0016557725,0.0001332051,3.38E-33,1.60E-27,5.03E-30,NIN
cg07042014,-0.0011223212,9.04E-05,4.23E-33,2.01E-27,6.27E-30,LTB4R
cg05877497,-0.0010799091,8.70E-05,4.26E-33,2.02E-27,6.27E-30,MEIS1
cg26706803,-0.0016051622,0.0001294353,4.66E-33,2.21E-27,6.83E-30,NA
cg14434062,-0.0013633633,0.0001099807,4.89E-33,2.32E-27,7.13E-30,NA
cg05957567,-0.0008512036,6.87E-05,5.12E-33,2.43E-27,7.43E-30,BCL7A
cg15417798,-0.0010508934,8.49E-05,5.94E-33,2.82E-27,8.58E-30,LPHN1
cg15030415,-0.0014835954,0.0001199255,6.45E-33,3.05E-27,9.26E-30,RAP1GAP2
cg04948284,-0.0011541451,9.33E-05,6.62E-33,3.13E-27,9.45E-30,LTBP3
cg24024661,-0.0019030275,0.0001539194,6.97E-33,3.30E-27,9.91E-30,HMHA1
cg16949914,-0.0013101114,0.0001060564,7.98E-33,3.78E-27,1.13E-29,IL2RA
cg17178761,-0.0015490634,0.0001258367,1.28E-32,6.07E-27,1.80E-29,MSI2
cg25414605,-0.0011256349,9.16E-05,1.56E-32,7.40E-27,2.19E-29,CARNS1
cg05638787,-0.0011227112,9.14E-05,1.71E-32,8.12E-27,2.39E-29,NA
cg15908709,0.00144635,0.0001180539,2.35E-32,1.11E-26,3.26E-29,NA
cg01143454,-0.0017821876,0.0001457238,2.97E-32,1.41E-26,4.08E-29,NA
cg04345034,-0.001059519,8.66E-05,2.97E-32,1.41E-26,4.08E-29,NA
cg15016701,-0.0017361195,0.0001419994,3.09E-32,1.46E-26,4.22E-29,PPM1H
cg15165154,-0.0018025468,0.0001474382,3.12E-32,1.48E-26,4.24E-29,CXXC5
cg02979520,-0.0011022657,9.03E-05,3.63E-32,1.72E-26,4.91E-29,PLXNB1
cg04310331,-0.0010389357,8.51E-05,3.66E-32,1.74E-26,4.94E-29,MRPL23-AS1
cg20076442,-0.0023293683,0.0001909968,4.30E-32,2.04E-26,5.77E-29,NA
cg12342675,-0.0012428701,0.0001020338,5.03E-32,2.38E-26,6.71E-29,BICC1
cg27648858,-0.0007967105,6.55E-05,6.21E-32,2.94E-26,8.26E-29,PIK3R2
cg23169111,-0.0011954236,9.83E-05,6.45E-32,3.05E-26,8.53E-29,AVP
cg13110239,-0.0009646092,7.93E-05,6.53E-32,3.10E-26,8.58E-29,CSNK1E
cg05820066,-0.0014557757,0.0001197541,6.55E-32,3.10E-26,8.58E-29,LDHD
cg12970171,-0.0014696079,0.0001210489,7.75E-32,3.67E-26,1.01E-28,NA
cg11217218,-0.0006698315,5.52E-05,8.24E-32,3.90E-26,1.07E-28,NA
cg00327947,-0.0012987688,0.0001070281,8.25E-32,3.91E-26,1.07E-28,NA
cg25953130,-0.0025045103,0.0002066199,9.53E-32,4.51E-26,1.23E-28,ARID5B
cg23739746,-0.001780668,0.000146929,9.79E-32,4.64E-26,1.25E-28,NA
cg24815934,-0.0012171546,0.0001004584,1.01E-31,4.78E-26,1.29E-28,ITGB2
cg22218709,-0.0008187002,6.76E-05,1.14E-31,5.41E-26,1.45E-28,FOXK1
cg20600850,-0.0012115874,0.0001000961,1.15E-31,5.44E-26,1.45E-28,CHD4
cg07810039,-0.002072627,0.0001714752,1.38E-31,6.52E-26,1.73E-28,TGFB2
cg23889047,-0.0017220647,0.0001427152,1.71E-31,8.12E-26,2.15E-28,CAMTA1
cg27106909,-0.0012452673,0.0001032353,1.82E-31,8.61E-26,2.27E-28,YPEL3
cg00541544,-0.001490677,0.0001236562,1.95E-31,9.25E-26,2.43E-28,SUN2
cg18681014,-0.0015587038,0.0001294372,2.22E-31,1.05E-25,2.75E-28,NA
cg23754918,0.0016375368,0.0001361393,2.58E-31,1.22E-25,3.18E-28,IQCE
cg24045875,-0.0010897431,9.06E-05,2.61E-31,1.24E-25,3.20E-28,NA
cg13443592,-0.0014437478,0.0001200524,2.64E-31,1.25E-25,3.22E-28,NA
cg19653589,-0.000925004,7.70E-05,3.01E-31,1.43E-25,3.66E-28,GNG7
cg24420089,-0.001407483,0.0001174871,4.30E-31,2.04E-25,5.21E-28,PTDSS2
cg20782117,-0.0017353151,0.0001449248,4.61E-31,2.18E-25,5.55E-28,SLC25A13
cg14019746,-0.0020011284,0.0001671349,4.70E-31,2.23E-25,5.64E-28,NA
cg00989249,-0.0013523447,0.0001130367,5.11E-31,2.42E-25,6.11E-28,N4BP3
cg13149245,-0.0012757859,0.0001066292,5.16E-31,2.44E-25,6.14E-28,NA
cg03485667,-0.0013411028,0.0001122157,5.84E-31,2.77E-25,6.93E-28,ZNRF1
cg03663556,-0.001338971,0.0001121277,6.52E-31,3.09E-25,7.70E-28,NA
cg26767614,0.0018380447,0.0001541564,7.85E-31,3.72E-25,9.23E-28,NFIX
cg18520238,-0.0025210019,0.0002114467,8.05E-31,3.81E-25,9.43E-28,PRR5L
cg19233405,-0.0014170131,0.0001188743,8.13E-31,3.85E-25,9.48E-28,ZBTB7B
cg17796323,-0.0021039924,0.0001765341,8.26E-31,3.91E-25,9.60E-28,N4BP3
cg07103201,-0.0011243442,9.44E-05,9.54E-31,4.52E-25,1.10E-27,SPECC1
cg17896927,-0.0021438629,0.0001801917,1.03E-30,4.89E-25,1.19E-27,RGMA
cg04730825,-0.0017256459,0.0001451027,1.09E-30,5.16E-25,1.25E-27,ABCC1
cg04160501,-0.0010541079,8.86E-05,1.10E-30,5.23E-25,1.26E-27,FOXK1
cg11216632,-0.0013202165,0.000111128,1.24E-30,5.88E-25,1.41E-27,ARHGEF2
cg12036735,-0.0020021397,0.0001685621,1.27E-30,6.01E-25,1.44E-27,NA
cg17898925,-0.0011806576,9.96E-05,1.74E-30,8.23E-25,1.96E-27,NA
cg08894487,-0.0019895176,0.0001680012,1.86E-30,8.80E-25,2.09E-27,ARID3A
cg06311778,-0.0008711851,7.36E-05,2.02E-30,9.56E-25,2.26E-27,TENC1
cg24149590,-0.0011954884,0.0001012047,2.53E-30,1.20E-24,2.82E-27,NA
cg00739778,-0.0018065473,0.0001530112,2.69E-30,1.27E-24,2.99E-27,RAP1GAP2
cg04869854,-0.0005580041,4.74E-05,3.86E-30,1.83E-24,4.27E-27,CARNS1
cg13856340,-0.0015139527,0.0001287267,4.34E-30,2.06E-24,4.79E-27,SCAI
cg08416522,-0.0004317903,3.68E-05,5.70E-30,2.70E-24,6.26E-27,MAP3K7CL
cg27246744,-0.0012906827,0.0001101137,6.55E-30,3.10E-24,7.17E-27,OSBPL10
cg22531371,-0.0005748359,4.90E-05,6.62E-30,3.14E-24,7.23E-27,MUC1
cg18214661,-0.001757289,0.0001500384,7.23E-30,3.42E-24,7.85E-27,PDGFRL
cg02637282,-0.00181111,0.000154721,7.71E-30,3.65E-24,8.35E-27,NA
cg12999267,-0.0012499862,0.0001068007,7.85E-30,3.72E-24,8.47E-27,NA
cg25197194,-0.0018987755,0.0001623655,8.67E-30,4.11E-24,9.31E-27,EFCC1
cg21221899,-0.0004952011,4.23E-05,8.73E-30,4.13E-24,9.34E-27,ARHGEF28
cg13519902,-0.0011021979,9.43E-05,9.34E-30,4.43E-24,9.97E-27,NA
cg22603569,-0.0014901783,0.0001276224,1.05E-29,4.95E-24,1.11E-26,NFIC
cg02835421,-0.000804557,6.89E-05,1.05E-29,4.95E-24,1.11E-26,IPO13
cg09801824,-0.0006156176,5.28E-05,1.18E-29,5.58E-24,1.24E-26,NA
cg08748913,-0.0006089416,5.23E-05,1.36E-29,6.46E-24,1.43E-26,KLHL3
cg27064708,-0.0012682014,0.0001088629,1.38E-29,6.55E-24,1.45E-26,RAD51B
cg12424598,-0.0010878576,9.36E-05,1.81E-29,8.55E-24,1.88E-26,RORC
cg14603031,-0.0006719543,5.78E-05,1.96E-29,9.28E-24,2.04E-26,LFNG
cg23663547,-0.0011566987,9.99E-05,2.76E-29,1.31E-23,2.86E-26,CCR7
cg05514299,-0.0017700691,0.0001532363,3.84E-29,1.82E-23,3.97E-26,MGAT5B
cg24914185,-0.0012467067,0.0001080664,4.46E-29,2.11E-23,4.59E-26,NA
cg08276042,-0.0010283549,8.92E-05,4.73E-29,2.24E-23,4.85E-26,KCTD5
cg21574271,-0.0015880806,0.0001377523,4.86E-29,2.30E-23,4.96E-26,BMPR1B
cg10714639,-0.0021550923,0.0001870667,5.26E-29,2.49E-23,5.35E-26,HMHA1
cg03699843,-0.0011989985,0.000104162,5.81E-29,2.75E-23,5.89E-26,SNX20
cg09476997,0.0022302578,0.0001938865,6.31E-29,2.99E-23,6.37E-26,SLC9A3R2
cg03720100,-0.0011432731,9.94E-05,6.57E-29,3.11E-23,6.61E-26,NA
cg16536330,-0.0007605977,6.62E-05,6.98E-29,3.30E-23,7.00E-26,LEPROTL1
cg00299736,-0.0010040558,8.74E-05,7.12E-29,3.37E-23,7.12E-26,CD5
cg07483304,-0.0010554403,9.19E-05,7.95E-29,3.77E-23,7.92E-26,HOXA10
cg13487983,-0.000792395,6.90E-05,8.01E-29,3.79E-23,7.95E-26,RXRA
cg05059607,-0.0018614706,0.0001623947,9.54E-29,4.52E-23,9.43E-26,PITPNC1
cg26537478,-0.0010615972,9.27E-05,1.05E-28,4.98E-23,1.04E-25,MEIS1
cg06320380,-0.0004278026,3.74E-05,1.12E-28,5.31E-23,1.10E-25,TNS1
cg10020892,-0.0018358014,0.0001604411,1.18E-28,5.57E-23,1.15E-25,BCL9
cg10493186,-0.0014937035,0.0001306402,1.28E-28,6.08E-23,1.25E-25,PRDM16
