CHR,Position,CpG,Mapped Gene,Nearest Gene (10 Mb),Gene Group,Coef,SE,P,Direction
21,40180000,cg15892280,ETS2,ETS2       ,5'UTR,-0.011,0.002,1.00E-13,---------
1,25257566,cg24019564,RUNX3,RUNX3      ,TSS1500;Body,-0.009,0.001,1.28E-13,---------
12,120531986,cg12160087,CCDC64,CCDC64      ,3'UTR,-0.01,0.001,1.36E-13,---------
15,90291141,cg04459939,,MESP1      ,,0.023,0.003,1.66E-13,+++++++++
5,134828036,cg25415695,,TIFAB      ,,0.014,0.002,2.43E-13,+++++++++
14,101294430,cg04291079,MEG3,MEG3       ,Body;Body;Body,0.012,0.002,2.49E-13,+++++++++
9,98979965,cg01825213,,HSD17B3     ,,0.019,0.003,2.51E-13,+++++++++
10,94179972,cg14807565,,IDE       ,,0.011,0.002,2.85E-13,+++++++++
1,230413174,cg16517298,GALNT2,GALNT2      ,Body,-0.023,0.003,3.24E-13,---------
7,27253143,cg00709966,,HOTTIP      ,,-0.01,0.001,3.69E-13,---+-----
7,145812842,cg21322436,CNTNAP2,CNTNAP2     ,TSS1500,-0.007,0.001,3.83E-13,--------+
16,54228358,cg03687532,,FTO       ,,0.013,0.002,3.90E-13,+++++++++
11,86512100,cg23351584,PRSS23,PRSS23      ,5'UTR,0.008,0.001,5.96E-13,+++++++++
22,31740944,cg00930606,PATZ1,PATZ1      ,1stExon;1stExon;1stExon;1stExon,-0.009,0.001,6.12E-13,---------
22,37678728,cg12741639,CYTH4,CYTH4      ,Body,-0.008,0.001,6.31E-13,--------+
1,230415343,cg00589617,GALNT2,GALNT2      ,3'UTR,-0.015,0.002,6.92E-13,---------
16,85176646,cg26746573,,LOC400548    ,,-0.007,0.001,7.52E-13,---------
10,62332846,cg27434149,,ANK3       ,,0.025,0.003,8.49E-13,+++++++++
21,37915281,cg01668281,CLDN14,CLDN14      ,5'UTR;TSS1500,-0.01,0.002,1.37E-12,---------
22,30129607,cg23414595,ZMAT5,ZMAT5      ,Body;Body,-0.013,0.002,1.52E-12,---------
1,12107668,cg22877366,,MIIP       ,,-0.016,0.002,1.70E-12,---------
2,179184866,cg22057874,OSBPL6,OSBPL6      ,TSS200;Body,0.014,0.002,1.80E-12,+++++++++
6,130524018,cg02227813,SAMD3,SAMD3      ,Body;Body,0.016,0.002,1.90E-12,+++++++++
1,25257505,cg07996594,RUNX3,RUNX3      ,TSS1500;Body,-0.01,0.001,2.00E-12,---------
12,95945120,cg03453449,USP44,USP44      ,1stExon;5'UTR,0.015,0.002,2.37E-12,+++++++++
10,14372596,cg05755354,FRMD4A,FRMD4A      ,1stExon;5'UTR,0.006,0.001,2.89E-12,+++++++++
5,135364060,cg10187927,TGFBI,TGFBI      ,TSS1500,0.013,0.002,3.00E-12,+++++++++
1,25257547,cg15014975,RUNX3,RUNX3      ,TSS1500;Body,-0.018,0.003,3.23E-12,---------
5,87835928,cg21253335,,,,0.015,0.002,3.38E-12,+++++++++
16,2204381,cg13951797,TRAF7,RAB26      ,TSS1500,-0.012,0.002,3.78E-12,---------
19,33183713,cg21498471,NUDT19,NUDT19      ,Body,-0.012,0.002,3.90E-12,---------
19,1591035,cg18625289,MBD3,MBD3       ,Body,-0.01,0.001,5.01E-12,---------
11,62272972,cg04208124,AHNAK,AHNAK      ,Body,0.009,0.001,5.14E-12,+++++++++
1,89530930,cg12054698,GBP1,GBP1       ,5'UTR;1stExon,0.024,0.004,5.15E-12,++??+++++
7,1036653,cg07104557,C7orf50,C7orf50     ,3'UTR;3'UTR;3'UTR,-0.012,0.002,6.40E-12,-----+---
4,17783936,cg00306311,FAM184B,FAM184B     ,TSS1500,0.009,0.001,6.67E-12,+++++++++
17,79970192,cg23928512,ASPSCR1,ASPSCR1     ,Body,-0.011,0.002,7.75E-12,---------
2,206628553,cg22308949,NRP2,NRP2       ,Body;Body;Body;Body;Body,-0.016,0.002,7.83E-12,---------
1,2995301,cg12436196,PRDM16,PRDM16      ,Body;Body,-0.019,0.003,1.08E-11,---------
9,123656751,cg27207079,,TRAF1      ,,0.01,0.001,1.09E-11,+++++++++
5,400517,cg17401179,AHRR,AHRR       ,Body,-0.019,0.003,1.29E-11,---------
17,4457835,cg09726279,MYBBP1A,MYBBP1A     ,Body;Body,-0.007,0.001,1.40E-11,---------
2,207025417,cg27248887,EEF1B2;SNORD51;NDUFS1,EEF1B2      ,Body;Body;TSS1500;TSS1500;Body,-0.012,0.002,1.46E-11,---------
15,90605618,cg00624799,ZNF710,ZNF710      ,5'UTR,-0.011,0.002,1.56E-11,---------
1,245330018,cg09368188,KIF26B,KIF26B      ,Body,0.019,0.003,1.58E-11,+++++++++
1,26146005,cg13876650,FAM54B,MTFR1L      ,TSS1500;TSS1500;TSS1500;TSS1500,-0.007,0.001,1.58E-11,---------
11,111789693,cg05697249,C11orf52,C11orf52     ,1stExon;5'UTR,0.011,0.002,2.10E-11,+++++++++
17,47076904,cg18183624,IGF2BP1,IGF2BP1     ,Body;Body,-0.019,0.003,2.27E-11,------+--
16,616857,cg27063372,NHLRC4,NHLRC4      ,TSS200,-0.012,0.002,2.29E-11,---------
4,15965025,cg12073319,FGFBP2,FGFBP2      ,TSS200,-0.01,0.002,2.70E-11,---------
11,1892043,cg09989681,LSP1,LSP1       ,5'UTR;TSS200;TSS200;Body,-0.009,0.001,2.72E-11,--------+
8,60032926,cg02892925,TOX,TOX       ,TSS1500,0.017,0.003,2.91E-11,+++++++++
18,3495888,cg21013431,,DLGAP1      ,,0.021,0.003,3.14E-11,+++++++++
1,43396871,cg05034603,SLC2A1,SLC2A1      ,Body,-0.006,0.001,3.15E-11,-+-------
15,75138105,cg27133224,SCAMP2,SCAMP2      ,Body,-0.006,0.001,3.28E-11,---------
19,58094517,cg17798563,ZIK1,ZIK1       ,TSS1500,0.008,0.001,3.53E-11,+++++++++
9,98931801,cg14563637,,HSD17B3     ,,0.015,0.002,3.57E-11,+++++++++
11,1892038,cg24552015,LSP1,LSP1       ,5'UTR;TSS200;TSS200;Body,-0.009,0.001,3.60E-11,---------
12,119592343,cg13810723,SRRM4,SRRM4      ,Body,-0.012,0.002,3.80E-11,---------
17,75371532,cg14183922,09-Sep,09-Sep,5'UTR;Body;Body;Body;TSS1500,-0.01,0.002,3.98E-11,--------+
11,125366540,cg26827653,FEZ1,FEZ1       ,TSS1500;TSS1500,0.01,0.002,4.43E-11,+++++++++
10,119221444,cg18621256,,EMX2OS      ,,-0.012,0.002,4.56E-11,--?-----+
17,10602001,cg12478185,C17orf48;SCO1,ADPRM      ,5'UTR;TSS1500,-0.014,0.002,4.61E-11,---------
6,122364658,cg05634495,,HSF2       ,,0.014,0.002,4.82E-11,--++++-++
6,30586360,cg15735240,MRPS18B;PPP1R10,MRPS18B     ,Body;TSS1500,-0.008,0.001,5.16E-11,-----+---
6,166260532,cg00794911,,LINC00473    ,,-0.009,0.001,5.19E-11,---------
1,38022586,cg21488617,DNALI1,DNALI1      ,1stExon,0.007,0.001,5.20E-11,+++++++++
10,81967536,cg09614479,,ANXA11      ,,0.016,0.002,5.97E-11,+++++++++
17,76121348,cg07313882,TMC6,TMC6       ,Body;Body,-0.008,0.001,6.32E-11,--------+
8,1273604,cg24513387,,LOC286083    ,,-0.009,0.001,7.05E-11,------+--
11,1774722,cg10980495,HCCA2;CTSD,CTSD       ,Body;3'UTR,-0.019,0.003,7.13E-11,---------
11,68082621,cg22151881,LRP5,LRP5       ,Body,-0.011,0.002,7.25E-11,--?------
9,33168018,cg05779272,B4GALT1,B4GALT1     ,TSS1500,-0.006,0.001,7.39E-11,---------
17,38476024,cg19572487,RARA,RARA       ,5'UTR;5'UTR;5'UTR,-0.011,0.002,7.63E-11,---------
6,32120773,cg12883279,PPT2;PRRT1,LOC100507547   ,TSS1500;TSS1500;TSS1500,0.018,0.003,7.70E-11,+++++++++
22,50248907,cg20426710,ZBED4,ZBED4      ,5'UTR,-0.012,0.002,7.72E-11,---------
20,3730680,cg17361896,HSPA12B,HSPA12B     ,Body,-0.013,0.002,8.12E-11,--------+
11,46934663,cg08327367,LRP4,LRP4       ,Body,0.011,0.002,8.84E-11,++++++-++
1,202778443,cg00176638,KDM5B,KDM5B      ,TSS1500,0.017,0.003,9.24E-11,+++++++++
1,38022607,cg21171625,DNALI1,DNALI1      ,1stExon,0.008,0.001,1.05E-10,+++++++++
5,78365687,cg06501366,BHMT2;DMGDH,BHMT2      ,Body;TSS1500,0.018,0.003,1.11E-10,+++++++++
2,206628625,cg05348875,NRP2,NRP2       ,Body;Body;Body;Body;Body,-0.026,0.004,1.13E-10,---------
21,43189892,cg06230839,,RIPK4      ,,0.015,0.002,1.17E-10,+++++++++
11,76381040,cg10788371,LRRC32,LRRC32      ,5'UTR;1stExon;5'UTR,-0.006,0.001,1.20E-10,-----+---
4,81119473,cg22902505,PRDM8,PRDM8      ,5'UTR;5'UTR,-0.027,0.004,1.21E-10,------+--
16,30198505,cg27583010,CORO1A;LOC606724,CORO1A      ,Body;TSS1500,-0.013,0.002,1.42E-10,---------
4,140737518,cg10136560,MAML3,MAML3      ,Body,0.016,0.003,1.47E-10,+++++++++
22,38610514,cg26038465,MAFF,MAFF       ,Body;Body;Body;Body,0.015,0.002,1.48E-10,+++++++++
9,136023407,cg03474926,RALGDS,RALGDS      ,Body,-0.005,0.001,1.58E-10,---------
2,206628692,cg14157435,NRP2,NRP2       ,Body;Body;Body;Body;Body,-0.028,0.004,1.61E-10,---------
15,75093165,cg27211576,CSK,CSK       ,Body;Body,-0.009,0.001,1.67E-10,---------
10,88467518,cg19107504,LDB3,LDB3       ,Body;Body;Body,0.01,0.002,1.82E-10,++++++-++
11,62273116,cg03274456,AHNAK,AHNAK      ,Body,0.014,0.002,1.84E-10,++++++-++
12,21590305,cg21962791,PYROXD1,PYROXD1     ,TSS1500,0.012,0.002,1.91E-10,+++++++++
3,156323952,cg02019125,,SSR3       ,,0.01,0.002,1.92E-10,+++++++++
20,4954333,cg16547579,SLC23A2,SLC23A1     ,5'UTR;5'UTR,-0.013,0.002,2.00E-10,---------
7,5567862,cg01741041,ACTB,ACTB       ,Body,-0.007,0.001,2.15E-10,--------+
11,58870075,cg16611234,,FAM111B     ,,-0.009,0.001,2.16E-10,---------
19,14584926,cg19243826,PTGER1,PTGER1      ,Body,0.007,0.001,2.24E-10,++-+++-++
19,34302998,cg02973307,KCTD15,KCTD15      ,3'UTR;Body;Body,-0.014,0.002,2.25E-10,---------
1,153762564,cg13064789,,SLC27A3     ,,0.011,0.002,2.28E-10,++?++++++
22,37882078,cg11201532,MFNG,MFNG       ,1stExon;1stExon;Body,-0.002,0,2.36E-10,---------
6,28227068,cg17384889,NKAPL,NKAPL      ,TSS200,0.01,0.002,2.41E-10,++++++-++
6,28190810,cg23266546,,ZSCAN9      ,,0.009,0.001,2.47E-10,+++++++++
17,7381288,cg07565956,ZBTB4,ZBTB4      ,5'UTR;5'UTR,-0.006,0.001,2.50E-10,---------
17,80196903,cg23664708,SLC16A3,SLC16A3     ,3'UTR;3'UTR;3'UTR,-0.01,0.002,2.53E-10,---------
6,41376904,cg01856384,,NCR2       ,,0.018,0.003,2.60E-10,+++++++++
22,43042910,cg27191921,CYB5R3,CYB5R3      ,5'UTR;Body;1stExon;5'UTR;1stExon,-0.008,0.001,2.73E-10,---------
11,111789613,cg11845417,C11orf52,C11orf52     ,1stExon;5'UTR,0.009,0.001,2.82E-10,+++++++++
5,78365801,cg03400060,BHMT2;DMGDH,BHMT2      ,Body;TSS1500,0.012,0.002,2.96E-10,+++++++++
1,110164547,cg07954706,AMPD2,AMPD2      ,Body;Body,-0.008,0.001,2.98E-10,---------
17,79797058,cg25235958,,P4HB       ,,0.01,0.002,3.02E-10,+++++++++
22,39714288,cg21649604,RPL3;RNU86,RPL3       ,Body;Body;TSS1500,-0.006,0.001,3.07E-10,---------
15,43645055,cg25863735,ADAL,ADAL       ,3'UTR,0.009,0.001,3.15E-10,+++++++++
6,27173574,cg16436711,,PRSS16      ,,0.012,0.002,3.39E-10,+++++++++
17,15849512,cg17580614,ADORA2B,ADORA2B     ,Body,0.009,0.002,3.69E-10,+++++++++
9,132458514,cg14540913,PRRX2,PRRX2      ,Body,0.01,0.002,3.89E-10,++++++-++
11,68141470,cg09578155,LRP5,LRP5       ,Body,-0.008,0.001,4.04E-10,---------
3,111697537,cg10672681,ABHD10,ABHD10      ,TSS1500,0.017,0.003,4.13E-10,+++++++++
22,40743980,cg13370427,ADSL,ADSL       ,Body;Body,-0.009,0.001,4.19E-10,---------
12,95869153,cg11210343,METAP2,METAP2      ,Body,-0.013,0.002,4.23E-10,---------
12,95945384,cg14565151,USP44,USP44      ,TSS200,0.014,0.002,4.27E-10,+++++++++
19,16988083,cg14712058,SIN3B,SIN3B      ,Body,-0.009,0.001,4.31E-10,---------
5,497639,cg00190355,SLC9A3,SLC9A3      ,Body,0.016,0.003,4.41E-10,+++++++++
1,45986120,cg06070002,PRDX1,PRDX1      ,5'UTR;5'UTR;5'UTR,0.007,0.001,4.46E-10,++++++-++
4,5710767,cg03278643,EVC2,EVC2       ,5'UTR;1stExon;TSS1500,0.01,0.002,4.50E-10,++++++-++
13,76430665,cg02264407,LMO7,LMO7       ,Body;Body,-0.012,0.002,4.52E-10,---------
6,41704003,cg09490007,TFEB,TFEB       ,TSS200;TSS1500,0.007,0.001,4.54E-10,++++++-++
1,220702826,cg14154859,MARK1,MARK1      ,Body,-0.012,0.002,4.63E-10,---------
16,30198509,cg06749872,CORO1A;LOC606724,CORO1A      ,Body;TSS1500,-0.009,0.001,4.67E-10,---------
9,132463186,cg13496492,PRRX2,PRRX2      ,Body,0.006,0.001,4.84E-10,+++++++++
5,436816,cg26954197,AHRR,AHRR       ,3'UTR,0.006,0.001,5.08E-10,+++++++++
15,57510460,cg25688583,TCF12,TCF12      ,TSS1500;Body;Body;Body;Body,0.016,0.003,5.19E-10,+?+++++++
17,27048223,cg16565409,RPL23A;SNORD4A,RPL23A      ,Body;TSS1500,-0.017,0.003,5.63E-10,--?------
19,30864867,cg23458168,ZNF536,ZNF536      ,5'UTR,0.014,0.002,5.75E-10,+++++++++
4,17711202,cg08644678,FAM184B,FAM184B     ,Body,0.008,0.001,5.82E-10,++++++-++
10,104536035,cg26640901,C10orf26,WBP1L      ,5'UTR;Body;1stExon,-0.007,0.001,6.08E-10,---------
11,7597349,cg20244273,PPFIBP2,PPFIBP2     ,Body,-0.009,0.002,6.27E-10,---------
1,2792637,cg15522425,,ACTRT2      ,,0.01,0.002,6.97E-10,+++++++++
17,75371764,cg07827420,09-Sep,09-Sep,5'UTR;Body;Body;Body;TSS1500,-0.008,0.001,7.07E-10,---------
10,81967195,cg06813382,,ANXA11      ,,0.015,0.002,7.25E-10,+++++++++
16,89488963,cg00169122,ANKRD11,ANKRD11     ,5'UTR,0.01,0.002,7.31E-10,++++++-++
1,2995506,cg08262220,PRDM16,PRDM16      ,Body;Body,-0.018,0.003,7.31E-10,---------
7,100073281,cg00376553,TSC22D4,TSC22D4     ,Body,-0.011,0.002,7.37E-10,---------
7,129918047,cg13969674,CPA2,CPA2       ,Body,0.009,0.001,7.66E-10,+++++++++
8,118764818,cg21789008,,EXT1       ,,-0.01,0.002,8.18E-10,-----+---
7,107950866,cg25311470,NRCAM,NRCAM      ,5'UTR;5'UTR,-0.008,0.001,8.25E-10,---------
11,18415641,cg19631472,LDHA,LDHA       ,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,-0.008,0.001,8.26E-10,---------
11,60774952,cg12779520,CD6,CD6       ,Body,-0.006,0.001,8.89E-10,-+------+
2,98703888,cg08026735,VWA3B,VWA3B      ,5'UTR,0.009,0.001,9.11E-10,++-++++++
4,77723198,cg27446137,,SHROOM3     ,,0.018,0.003,9.48E-10,+++++++++
12,117042854,cg09718037,,MAP1LC3B2    ,,0.012,0.002,1.01E-09,+++++++++
6,158982078,cg17298279,TMEM181,TMEM181     ,Body,-0.005,0.001,1.04E-09,-+-------
6,28226885,cg21251018,NKAPL,NKAPL      ,TSS1500,0.017,0.003,1.04E-09,+++++++++
8,106330173,cg04640109,ZFPM2,ZFPM2      ,TSS1500,0.006,0.001,1.05E-09,+++++++++
10,121411826,cg10673740,BAG3,BAG3       ,Body,0.009,0.001,1.05E-09,+++++++++
8,6264959,cg03773820,MCPH1,MCPH1      ,Body,-0.01,0.002,1.09E-09,---------
11,111750412,cg22879583,FDXACB1;C11orf1,C11orf1     ,TSS1500;Body,-0.009,0.002,1.09E-09,---------
8,38330740,cg18739367,,FGFR1      ,,0.009,0.001,1.11E-09,+++++++++
4,15965102,cg12723011,FGFBP2,FGFBP2      ,TSS1500,-0.004,0.001,1.16E-09,-----+---
3,24725365,cg13279811,,THRB       ,,-0.012,0.002,1.19E-09,---------
17,39889811,cg16255816,HAP1,HAP1       ,Body;Body;Body,-0.005,0.001,1.20E-09,---------
11,62455098,cg03127898,LRRN4CL,LRRN4CL     ,3'UTR,0.011,0.002,1.26E-09,+++++++++
11,86519158,cg04660191,PRSS23,PRSS23      ,Body,0.005,0.001,1.27E-09,+++++++++
15,39872037,cg08293324,THBS1,THBS1      ,TSS1500,0.01,0.002,1.28E-09,+++-+++++
3,113380072,cg18722086,KIAA2018,KIAA2018     ,Body,0.004,0.001,1.34E-09,++++++-++
4,81118343,cg04235768,PRDM8,PRDM8      ,TSS1500;5'UTR,-0.014,0.002,1.35E-09,------+--
4,38869650,cg25943096,MIR574;FAM114A1,FAM114A1     ,TSS200;5'UTR,0.013,0.002,1.36E-09,+++++++++
