#Supplementary Table 3. Continuous Alcohol Phenotype: The CpGs with P<1x10-7 in Meta-analysis of Whole Blood Samples of African Ancestry,,,,,,,,,,,,
#IlmnID,"UCSC Gene",Chr,Position,P,Beta,SE,"Beta Change","UCSC CpG Islands Name","Relation_to_UCSC_CpG_Island",DMR,Enhancer,DHS
cpg,gene,chr,position,beta,se,p.value,beta,cpg.island,relation,dmr,enhancer,dhs
cg00008629,ROD1,9,115093661,2.56E-08,-0.0001187679,2.13E-05,13,chr9:115095149-115095919,N_Shore,,,
cg13706315,,9,134724316,7.85E-09,4.54E-05,7.87E-06,29,,,,,
cg13876222,NOTCH1,9,139399348,1.64E-12,6.25E-05,8.85E-06,5,chr9:139399040-139400388,Island,,,
cg05010113,,10,2006950,9.18E-13,-3.90E-05,5.47E-06,3,,,,,
cg25529535,,10,6125715,6.57E-08,-4.77E-05,8.83E-06,12,,,,1,
cg10317175,,10,25247855,6.91E-08,-5.17E-05,9.59E-06,12,,,,,
cg03450842,ZMIZ1,10,80834947,1.18E-09,-5.95E-05,9.78E-06,27,,,,,
cg06188083,IFIT3,10,91093005,9.99E-10,-0.0001024369,1.68E-05,1,,,,,
cg10870587,,10,95249627,9.46E-09,-4.12E-05,7.17E-06,2,,,,,
cg09701700,MIR146B,10,104194843,1.25E-08,-7.39E-05,1.30E-05,23,chr10:104191984-104192527,S_Shelf,,,
cg00291478,RGS10,10,121301041,2.87E-08,-6.91E-05,1.24E-05,9,chr10:121301478-121303169,N_Shore,CDMR,,
cg10552523,IFITM1,11,313478,3.35E-09,-7.67E-05,1.30E-05,3,chr11:315739-316539,N_Shelf,,,1
cg01971407,IFITM1,11,313624,1.71E-12,-8.69E-05,1.23E-05,7,chr11:315739-316539,N_Shelf,RDMR,,
cg09167291,BRSK2,11,1468535,1.11E-11,-5.80E-05,8.54E-06,3,chr11:1470033-1470388,N_Shore,,,
cg09467675,HCCA2,11,1681593,5.11E-12,-6.74E-05,9.77E-06,2,,,,,
cg24497361,RHOG,11,3858493,5.07E-08,-5.75E-05,1.05E-05,11,chr11:3861855-3862996,N_Shelf,,,
cg26553513,LRRC4C,11,40310738,4.43E-08,-7.21E-05,1.32E-05,365,,,,1,
cg14099685,CUGBP1,11,47546068,3.96E-10,-4.87E-05,7.79E-06,451,,,,,
cg11376147,SLC43A1,11,57261198,2.23E-10,-3.60E-05,5.67E-06,14,,,,,1
cg05512483,SNORD30,11,62621791,5.12E-08,-4.78E-05,8.78E-06,16,chr11:62623359-62623877,N_Shore,,,
cg20889322,,11,65196622,3.22E-08,-5.16E-05,9.34E-06,0,,,,1,
cg19089328,NADSYN1,11,71210210,9.57E-09,8.44E-05,1.47E-05,23,,,,,
cg03528246,P4HA3,11,73995105,2.77E-08,-2.30E-05,4.13E-06,48,,,,1,
cg20886049,TSKU,11,76493545,3.74E-08,-6.05E-05,1.10E-05,21,chr11:76494416-76495672,N_Shore,,,
cg24088496,MAML2,11,96071506,3.97E-11,-8.08E-05,1.22E-05,250,,,,1,
cg06826457,,12,12867669,2.13E-09,-6.38E-05,1.07E-05,5,chr12:12869798-12871248,N_Shelf,,,
cg20759281,LDHB,12,21796914,7.31E-08,-6.30E-05,1.17E-05,13,,,,1,
cg14741228,FAM60A,12,31476479,3.80E-10,-3.92E-05,6.25E-06,4,chr12:31476717-31479466,N_Shore,RDMR,,
cg03935116,FAM60A,12,31476565,3.80E-09,-3.52E-05,5.97E-06,7,chr12:31476717-31479466,N_Shore,RDMR,,
cg02583484,HNRNPA1,12,54677008,7.35E-17,-9.46E-05,1.13E-05,15,chr12:54673322-54673550,S_Shelf,RDMR,,
cg04944536,,12,116756890,4.97E-08,3.98E-05,7.30E-06,11,,,,,
cg13645530,,12,116756948,6.65E-08,4.96E-05,9.18E-06,390,,,,,
cg23975840,,12,117042895,9.39E-10,8.72E-05,1.43E-05,3,,,,,
cg17723958,CCDC92,12,124429295,2.17E-08,6.55E-05,1.17E-05,8,,,,,
cg08504583,SLAIN1,13,78315584,1.06E-09,8.82E-05,1.45E-05,6,,,,,
cg08289839,CARS2,13,111318640,6.16E-09,5.23E-05,9.00E-06,15,,,,,
cg05248321,KLHL33,14,20898128,4.73E-08,5.78E-05,1.06E-05,7,,,,,
cg23123972,ABHD4,14,23080613,2.21E-09,-3.00E-05,5.02E-06,7,,,,,
cg22805381,,14,51760188,6.44E-08,-6.61E-05,1.22E-05,24,,,,1,
cg13057576,SYNE2,14,64692154,9.32E-18,-3.50E-05,4.08E-06,197,,,,,
cg01578221,ACYP1,14,75530906,1.05E-09,2.42E-06,3.97E-07,1,,,,,
cg05284742,ITPK1,14,93552128,8.20E-08,-3.80E-05,7.09E-06,48,,,,1,
cg18392604,DLK1,14,101192386,1.62E-14,-3.38E-05,4.40E-06,37,chr14:101192851-101193499,N_Shore,,,
cg09940677,CDC42BPB,14,103415458,2.39E-10,5.70E-05,9.00E-06,15,,,,1,1
cg04987734,CDC42BPB,14,103415873,2.40E-11,9.78E-05,1.46E-05,15,,,,,
cg02003183,CDC42BPB,14,103415882,6.66E-16,0.0001046932,1.30E-05,10,,,,,
cg15022400,TRIM69,15,45028161,8.66E-08,-6.40E-05,1.19E-05,11,,,,,
cg10439456,TRIM69,15,45028270,1.00E-08,-0.000108325,1.89E-05,0,,,,,
cg25595834,,15,59156878,1.08E-09,5.15E-05,8.44E-06,8,chr15:59157045-59157594,N_Shore,,,1
cg11077171,ARID3B,15,74881051,2.05E-08,3.51E-05,6.26E-06,2,,,,,
cg10850792,,15,89531046,2.64E-08,5.47E-05,9.84E-06,7,,,,,
cg09481056,ABCA3,16,2339260,5.16E-08,4.51E-05,8.29E-06,151,chr16:2339259-2339552,Island,,,
cg02074956,MGRN1,16,4730657,5.43E-08,4.67E-05,8.59E-06,32,chr16:4731561-4731835,N_Shore,,1,1
cg03497652,ANKS3,16,4751569,5.59E-18,0.0001068787,1.24E-05,6,,,,,
cg27118035,ZNF267,16,31891978,5.85E-11,5.91E-05,9.02E-06,21,,,,1,
cg01200905,TOX3,16,52480264,7.21E-08,-5.57E-05,1.03E-05,2,,,,,
cg16411857,NLRC5,16,57023191,4.54E-09,-8.54E-05,1.46E-05,3,chr16:57023190-57023768,Island,,,
cg09018739,CPNE2,16,57180107,4.36E-08,5.95E-05,1.09E-05,23,,,,,
cg07021906,SLC7A5,16,87866833,2.24E-13,7.72E-05,1.05E-05,91,,,,,
cg12116137,PRPF8,17,1576449,6.24E-09,7.72E-05,1.33E-05,9,,,,,
cg12537003,RAP1GAP2,17,2886453,3.52E-10,4.30E-05,6.85E-06,5,,,,1,1
cg21337881,C17orf87,17,5138645,1.05E-09,5.40E-05,8.86E-06,3,,,,,
cg17588003,C17orf87,17,5138696,1.78E-08,5.94E-05,1.05E-05,8,,,,,
cg02795151,POLR2A,17,7402630,2.71E-08,-1.75E-05,3.15E-06,0,,,,,
cg24129923,CHD3,17,7814251,6.52E-08,4.56E-05,8.44E-06,160,,,,,
cg23842572,MPRIP,17,17030253,2.55E-09,4.91E-05,8.24E-06,19,,,,1,
cg27551295,OSBPL7,17,45894580,1.29E-11,-1.86E-05,2.74E-06,6,chr17:45890956-45891165,S_Shelf,,,
cg04740898,BZRAP1,17,56402669,5.99E-10,-6.77E-05,1.09E-05,6,chr17:56401728-56402343,S_Shore,,1,1
cg12054453,TMEM49,17,57915717,4.71E-08,-9.67E-05,1.77E-05,21,,,,,
cg13620705,LLGL2,17,73559492,8.88E-16,-8.94E-05,1.11E-05,3,chr17:73559350-73559563,Island,,,
cg18181703,SOCS3,17,76354621,9.17E-11,-8.36E-05,1.29E-05,11,chr17:76354818-76357038,N_Shore,,,
cg13549638,RPTOR,17,78860076,9.70E-10,7.38E-05,1.21E-05,2,chr17:78863569-78863813,N_Shelf,,,
cg22515589,BAHCC1,17,79426432,3.01E-08,4.43E-05,7.99E-06,6,chr17:79427930-79429135,N_Shore,,,
cg20493718,CSNK1D,17,80202979,1.39E-08,4.17E-05,7.34E-06,8,chr17:80202799-80203289,Island,,,
cg12287206,,17,80247929,1.48E-12,-7.78E-05,1.10E-05,3,chr17:80250226-80251057,N_Shelf,,,
cg06306636,SPIRE1,18,12455633,9.10E-13,-3.97E-05,5.56E-06,4,,,,1,
cg11900210,BRUNOL4,18,34915648,1.60E-08,-6.86E-05,1.21E-05,11,chr18:34916712-34916915,N_Shore,,,1
cg07710247,NARS,18,55268669,1.06E-20,-4.14E-05,4.44E-06,4,,,,,
cg16743273,MOBKL2A,19,2076833,2.50E-12,4.56E-05,6.51E-06,6,chr19:2076483-2076982,Island,,,
cg24000650,ZFR2,19,3811161,7.91E-08,6.24E-05,1.16E-05,0,chr19:3810778-3811195,Island,,,
cg10854610,ZNF761,19,53935034,3.29E-14,5.88E-05,7.76E-06,1,chr19:53935089-53935291,N_Shore,,,
cg11436113,,20,19191145,2.71E-08,-6.35E-05,1.14E-05,12,chr20:19192459-19193902,N_Shore,RDMR,,
cg00240880,WISP2,20,43343233,1.68E-11,-3.69E-05,5.48E-06,151,,,,1,1
cg05089897,DYRK1A,21,38886664,1.65E-10,6.66E-05,1.04E-05,63,,,,,
cg26312951,MX1,21,42797847,4.26E-11,-0.0001183426,1.79E-05,4,chr21:42798146-42798884,N_Shore,,,1
cg27653384,PPM1F,22,22293118,3.13E-08,6.56E-05,1.19E-05,65,chr22:22292528-22292875,S_Shore,,,
cg05523603,,22,50973101,2.38E-11,-9.61E-05,1.44E-05,1,chr22:50963608-50970768,S_Shelf,,,
cg15317375,ZNF275,X,152608863,3.43E-08,-5.04E-05,9.13E-06,606,chrX:152612775-152613464,N_Shelf,,,
